"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)"
"3240000","CDFH3301262025000001","2025-04-23","","01","영업/정상","13","영업중","","","","","02-557-8828","","","서울특별시 강동구 고덕동 353-23 강동 아이파크 더리버 3~5층 304, 402-1~2, 503-1~2호","서울특별시 강동구 고덕비즈밸리로 51, 3~5층 304, 402-1~2, 503-1~2호 (고덕동)","05203","초이스바이반트","2025-04-23 17:33:47","I","2024-12-03 22:05:00.0","","213847.923700142","451564.469961363"
"3040000","CDFH3301262015000004","2015-07-16","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 광장동 313-3 광진구민체육센타","서울특별시 광진구 구천면로 14, 광진구민체육센타 (광장동)","04970","광진구민체육센터","2025-04-28 19:22:41","I","2024-12-03 21:00:00.0","","209343.001409181","449330.493519953"
"3220000","CDFH3301262022000002","2022-06-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 74-6","서울특별시 강남구 논현로 734, 지상2층,지하3,4층 (논현동)","06049","에이 스피릿 오브 저니(A SPIRIT OF JOURNEY)","2025-05-14 13:26:38","U","2024-12-04 23:06:00.0","","202545.820550895","446151.727131374"
"3040000","CDFH3301262015000006","2015-06-25","","01","영업/정상","13","영업중","","","","","02-2049-4570","","","서울특별시 광진구 자양동 227-344 광진문화예술회관 및 구의회청사","서울특별시 광진구 능동로 76, 광진문화예술회관 및 구의회청사 (자양동)","05065","광진문화예술회관","2025-05-21 10:39:08","I","2024-12-04 22:03:00.0","","206174.517174891","448365.36370057"
"3040000","CDFH3301262015000005","2015-06-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 중곡동 168-8 중곡문화체육센터","서울특별시 광진구 능동로 433, 중곡문화체육센터 (중곡동)","04904","중곡문화체육센터","2025-05-21 10:38:52","U","2024-12-04 22:03:00.0","","207416.176199123","451726.824779759"
"3040000","CDFH3301262025000001","2025-06-17","","01","영업/정상","13","영업중","","","","","02-3450-6000","","","서울특별시 광진구 자양동 870 업무시설(B동)","서울특별시 광진구 아차산로 410, 업무시설(B동) (자양동)","05050","풀만 앰배서더 서울 이스트폴","2025-06-18 09:09:44","I","2024-12-05 22:00:00.0","","",""
"3130000","CDFH3301262025000001","2025-04-11","","01","영업/정상","13","영업중","","","","","02-372-7534","","","서울특별시 마포구 상암동 1669 삼동소년촌","서울특별시 마포구 가양대로 124, 삼동소년촌 (상암동)","03906","삼동소년촌 삼동교육관(서부YMCA)","2025-06-18 16:13:06","U","2024-12-05 22:00:00.0","","189195.406463776","453187.932341921"
"3000000","CDFH3301262007000002","2007-07-05","","03","폐업","03","폐업","2008-03-17","","","","733-8111","","110-080","서울특별시 종로구 무악동 82번지 무악현대프라자 ","","","(주)나비스포렉스","2009-01-08 10:33:23","I","2018-08-31 23:59:59.0","","196467.975088253    ","452566.134030104    "
"3000000","CDFH3301262015000001","2015-07-31","","01","영업/정상","13","영업중","","","","","02-6388-5390","","","서울특별시 종로구 당주동 30","서울특별시 종로구 새문안로 97, 포시즌즈호텔 (당주동)","03183","Four Seasons Club Seoul(포시즌스 클럽 서울)","2025-05-12 13:46:31","U","2024-12-04 23:04:00.0","","197758.993026787","452053.420838552"
"3000000","CDFH3301262007000003","2007-08-06","","03","폐업","03","폐업","2021-10-05","","","","02-738-5005","","","서울특별시 종로구 종로1가 24 르메이에르종로타운1 ","서울특별시 종로구 종로 19, 르메이에르종로타운1 (종로1가)","03157","르메이에르스포츠 종로센터","2021-10-05 14:54:18","U","2021-10-07 02:40:00.0","","198150.300374121    ","452019.212642931    "
"3000000","CDFH3301262002000003","2002-05-27","","03","폐업","03","폐업","2005-11-01","","","","","","110-846","서울특별시 종로구 평창동 108-2번지 ","","","(주)올림피아스위트","2005-11-02 10:29:18","I","2018-08-31 23:59:59.0","","197949.002174181    ","456478.436790904    "
"3000000","CDFH3301262002000001","2002-01-09","","03","폐업","03","폐업","2020-06-30","","","","02-746-7788","","110-280","서울특별시 종로구 원서동 206-4 ","서울특별시 종로구 창덕궁길 19 (원서동)","03058","현대엔지니어링 주식회사","2020-07-01 14:22:35","U","2020-07-03 02:40:00.0","","198924.989607812    ","452899.526098556    "
"3000000","CDFH3301262002000002","2002-01-09","","01","영업/정상","13","영업중","","","","","02-747-9000","","","서울특별시 종로구 연지동 136-74번지 서울보증보험 ","서울특별시 종로구 김상옥로 29 (연지동)","03128","서울스포츠클럽","2020-01-23 15:42:37","U","2020-01-25 02:40:00.0","","199998.556147267    ","452379.49778015     "
"3000000","CDFH3301262006000001","2006-07-06","","01","영업/정상","13","영업중","","","","","02-379-0070","","","서울특별시 종로구 구기동 105-1 ","서울특별시 종로구 진흥로 446 (구기동, 외 4필지)","03012","로제우스","2022-10-19 14:53:43","U","2022-10-21 02:40:00.0","","196196.102280624    ","456120.471852388    "
"3000000","CDFH3301262014000001","2014-01-27","","01","영업/정상","13","영업중","","","","","02-778-0501","","110-784","서울특별시 종로구 종로6가 289-3 ","서울특별시 종로구 청계천로 279 (종로6가)","03198","클럽501","2024-02-22 14:45:47","U","2024-02-24 02:40:00.0","","200717.7490316      ","452011.865092338    "
"3000000","CDFH3301261989000001","1989-12-30","","01","영업/정상","13","영업중","","","","","02-735-4612","","","서울특별시 종로구 종로2가 9 YMCA ","서울특별시 종로구 종로 69 (종로2가)","03164","서울기독교청년회","2024-04-24 17:06:15","U","2024-04-26 02:40:00.0","","198630.79627088     ","452035.412646906    "
"3000000","CDFH3301262020000001","2020-03-19","","01","영업/정상","13","영업중","","","","","02-1661-0835","","","서울특별시 종로구 청운동 123 청운초등학교 ","서울특별시 종로구 자하문로 105, 청운초등학교 (청운동)","03032","청운스포렉스","2024-04-24 17:05:12","U","2024-04-26 02:40:00.0","","197224.271406687    ","453711.382151747    "
"3000000","CDFH3301262020000002","2020-10-05","","01","영업/정상","13","영업중","","","","","02-582-0045","","","서울특별시 종로구 신문로2가 171 ","서울특별시 종로구 새문안로2길 10, 지하2층 (신문로2가)","03184","디팰리스스포츠클럽","2020-10-14 10:39:44","U","2020-10-16 02:40:00.0","","197458.838227559    ","451820.889548579    "
"3000000","CDFH3301262007000001","2007-03-12","2015-08-17","04","취소/말소/만료/정지/중지","32","신고취소","","","","","02-732-9393","","110-054","서울특별시 종로구 사직동 284-1번지 ","서울특별시 종로구 인왕산로1길 21 (사직동)","","종로문화체육센터","2015-08-18 10:41:54","I","2018-08-31 23:59:59.0","","196809.4580779      ","452443.309152474    "
"3000000","CDFH3301261998000001","1998-02-26","2015-08-17","04","취소/말소/만료/정지/중지","32","신고취소","","","","","02-745-6702","","110-530","서울특별시 종로구 혜화동 1-21번지 ","서울특별시 종로구 성균관로 91 (혜화동)","","올림픽기념 국민생활관","2015-08-18 10:43:07","I","2018-08-31 23:59:59.0","","199828.159948935    ","454227.479528793    "
"3000000","CDFH3301262000000001","2000-10-06","2015-08-17","04","취소/말소/만료/정지/중지","32","신고취소","","","","","02-3673-4071","","110-840","서울특별시 종로구 창신동 222-8번지 ","서울특별시 종로구 지봉로5길 7-5 (창신동)","03104","종로구민회관","2015-08-18 10:43:54","I","2018-08-31 23:59:59.0","","201209.944592706    ","452357.959432655    "
"3010000","CDFH3301262013000001","2013-02-19","","03","폐업","03","폐업","2021-07-15","","","","02-2220-8220","","100-141","서울특별시 중구 의주로1가 202 ","","","(주)디에스디엘 프레이저 플레이스 호텔","2021-07-15 10:10:21","U","2021-07-17 02:40:00.0","","197249.283866944    ","451147.749970952    "
"3010000","CDFH3301261993000001","1993-02-19","","03","폐업","03","폐업","2022-12-30","","","","","","100-095","서울특별시 중구 남대문로5가 395 ","서울특별시 중구 소월로 50 (남대문로5가)","100-095","(주)씨디엘호텔코리아","2023-01-03 14:34:14","U","2023-01-05 02:40:00.0","","197762.501510022    ","450337.580626313    "
"3010000","CDFH3301261995000002","1995-10-12","","03","폐업","03","폐업","1999-10-11","","","","","","100-879","서울특별시 중구 흥인동 13-1번지 ","","","(주)한국스포랜드","2003-02-11 17:52:00","I","2018-08-31 23:59:59.0","","201442.039019479    ","451619.845549151    "
"3010000","CDFH3301261996000001","1996-01-08","","03","폐업","03","폐업","2006-07-19","","","","","","100-282","서울특별시 중구 인현동2가 73-1번지 ","","","오일관광(주)풍전호텔","2006-07-31 11:47:50","I","2018-08-31 23:59:59.0","","199550.506270874    ","451392.219693582    "
"3010000","CDFH3301262024000001","2024-07-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 만리동2가 2 봉래초등학교 ","서울특별시 중구 손기정로 73, 봉래초등학교 (만리동2가)","04501","봉래체육문화센터(주향에스씨엠)","2024-07-24 16:09:07","I","2024-07-26 00:14:27.0","","196749.444934893    ","450449.905854789    "
"3010000","CDFH3301261998000002","1998-01-24","","01","영업/정상","13","영업중","","","","","","","100-102","서울특별시 중구 태평로2가 23 ","서울특별시 중구 소공로 109 (태평로2가)","100-102","플라자 휘트니스클럽","2024-05-20 09:13:08","U","2024-05-22 02:40:00.0","","197979.021229862    ","451376.783371586    "
"3010000","CDFH3301262010000001","2010-07-22","","01","영업/정상","13","영업중","","","","","02-2231-9313","","100-455","서울특별시 중구 신당동 산 161번지 성동고등학교내 ","","","(주)한국스포터(성동교육문화관)","2012-03-27 13:00:34","I","2018-08-31 23:59:59.0","","",""
"3010000","CDFH3301262017000001","2017-06-23","","01","영업/정상","13","영업중","","","","","02-2231-9363","","","서울특별시 중구 신당동 330-2번지 ","서울특별시 중구 다산로 170 (신당동, 청구초등학교)","04589","청구교육문화관","2019-01-16 17:54:31","U","2019-01-18 02:40:00.0","","201182.331466693    ","450680.231675328    "
"3010000","CDFH3301262018000001","2018-06-11","","01","영업/정상","13","영업중","","","","","02-3425-8000","","","서울특별시 중구 을지로6가 58-5 ","서울특별시 중구 을지로 238, 노보텔앰배서더 20층 (을지로6가)","04561","인발란스","2025-01-14 17:04:28","U","2025-01-16 02:40:00.0","","200314.646974736    ","451554.066925226    "
"3010000","CDFH3301261989000001","1989-12-30","","01","영업/정상","13","영업중","","","","","","","100-856","서울특별시 중구 장충동2가 202-0번지 ","","","호텔신라","2013-07-16 11:16:26","I","2018-08-31 23:59:59.0","","200463.625303538    ","450497.460903907    "
"3010000","CDFH3301261989000002","1989-12-30","","01","영업/정상","13","영업중","","","","","","","100-070","서울특별시 중구 소공동 1 ","","","호텔롯데헬스센타","2025-02-13 16:52:51","U","2025-02-15 02:40:00.0","","198259.65357739     ","451392.198218657    "
"3010000","CDFH3301261990000001","1990-07-25","","01","영업/정상","13","영업중","","","","","","","100-857","서울특별시 중구 장충동2가 산 5-5번지 ","","","(주)타워호텔","2003-02-11 17:52:00","I","2018-08-31 23:59:59.0","","200193.232424569    ","449809.744684888    "
"3010000","CDFH3301261995000001","1995-01-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 소공동 87-1 서울 웨스틴조선호텔 ","서울특별시 중구 소공로 106, 서울 웨스틴조선호텔 (소공동)","04533","(주)조선호텔앤리조트 CAC클럽","2025-01-15 13:52:01","U","2025-01-17 02:40:00.0","","198172.151119488    ","451350.969223428    "
"3010000","CDFH3301261998000001","1998-01-24","","01","영업/정상","13","영업중","","","","","","","100-855","서울특별시 중구 장충동2가 186-54 ","","","웰니스 센터","2021-12-02 13:21:35","U","2021-12-04 02:40:00.0","","200141.998469463    ","450878.102981055    "
"3020000","CDFH3301261991000001","1991-09-24","","03","폐업","03","폐업","2014-05-19","","","","","","140-709","서울특별시 용산구 동자동 12번지 ","서울특별시 용산구 후암로 107  (동자동)","","(주)스포파크 서울역센터","2014-05-19 17:45:09","I","2018-08-31 23:59:59.0","","197593.304078325    ","450126.951675139    "
"3020000","CDFH3301262000000001","2000-08-25","","03","폐업","03","폐업","2010-04-28","","","","","","140-884","서울특별시 용산구 한남동 264-2번지 외7필지 ","","","록정개발(주)아마랜스 휘트니스클럽","2013-05-09 15:23:45","I","2018-08-31 23:59:59.0","","",""
"3020000","CDFH3301262003000001","2003-12-24","","03","폐업","03","폐업","2017-10-31","","","","798-5433","","","서울특별시 용산구 한남동 805번지 ","서울특별시 용산구 서빙고로 413 (한남동, 한남동 하이페리온)","04416","라이프스포츠클럽","2017-10-31 17:55:10","I","2018-08-31 23:59:59.0","","200357.541925483    ","447271.660261703    "
"3020000","CDFH3301261990000003","1990-12-21","","03","폐업","03","폐업","2021-01-12","","","","","","140-856","서울특별시 용산구 이태원동 260-199 ","서울특별시 용산구 소월로 272 (이태원동, 남송빌딩)","04342","남산체육관","2021-01-12 17:25:38","U","2021-01-14 02:40:00.0","","199214.10239741     ","448891.794439538    "
"3020000","CDFH3301262017000001","2017-09-27","","01","영업/정상","13","영업중","","","","","02-2223-7000","","","서울특별시 용산구 한강로3가 40-969 ","서울특별시 용산구 청파로20길 95, A,C동 4,6,7층 (한강로3가, 서울드래곤시티)","04372","서울드래곤시티피트니스클럽","2021-06-02 09:24:50","U","2021-06-04 02:40:00.0","","196610.663839509    ","447742.348636253    "
"3040000","CDFH3301261998000001","1998-01-17","","01","영업/정상","13","영업중","","","","","02-450-4425","","143-708","서울특별시 광진구 광장동 산 21","서울특별시 광진구 워커힐로 177 (광장동)","04963","SK네트웍스(주) 워커힐","2025-06-25 13:35:55","U","2024-12-05 22:07:00.0","","209775.267831522","450327.57709331"
"3020000","CDFH3301262018000001","2018-04-03","","01","영업/정상","13","영업중","","","","","02-6261-1200","","","서울특별시 용산구 한남동 805번지 한남동 하이페리온 101동 101호","서울특별시 용산구 서빙고로 413, 101동 B1층 101-103호 (한남동, 한남동 하이페리온)","04416","웰페리온 스파앤피트니스","2018-04-03 14:10:28","I","2018-08-31 23:59:59.0","","200357.541925483    ","447271.660261703    "
"3020000","CDFH3301261990000001","1990-11-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 용산구 이태원동 22-76 몬드리안 서울 이태원 ","서울특별시 용산구 장문로 23, 몬드리안 서울 이태원 (이태원동)","04392","몬드리안 서울 이태원 휘트니스센터","2021-04-02 09:33:52","U","2021-04-04 02:40:00.0","","199337.628628981    ","447413.487156381    "
"3020000","CDFH3301261990000002","1990-11-13","","01","영업/정상","13","영업중","","","","","02-799-8510","","","서울특별시 용산구 한남동 747-7 ","서울특별시 용산구 소월로 322 (한남동, 하얏트호텔)","04347","서울미라마 유한회사 그랜드 하얏트 서울","2025-01-02 11:16:00","U","2025-01-04 02:40:00.0","","199737.097413554    ","448587.753314794    "
"3030000","CDFH3301262007000001","2007-06-21","","03","폐업","03","폐업","2010-06-01","","","","02-2247-3300","","133-851","서울특별시 성동구 용답동 223-5번지 BF1, 5층 ","","","한국체육지도자총연합회연수원","2010-06-01 16:18:46","I","2018-08-31 23:59:59.0","","204934.319835624    ","451032.958798449    "
"3040000","CDFH3301261992000001","1992-03-26","","03","폐업","03","폐업","2004-06-07","","","","02-454-3691","","143-802","서울특별시 광진구 광장동 114번지 ","서울특별시 광진구 아차산로78길 44  (광장동)","","(주)현대프로세스","2004-12-02 17:00:17","I","2018-08-31 23:59:59.0","","209637.078215509    ","449832.485937903    "
"3040000","CDFH3301261992000002","1992-10-14","","03","폐업","03","폐업","2011-01-31","","","","2204-6094~5","","143-847","서울특별시 광진구 능동 18-11번지 ","","","어린이회관아이스링크","2013-03-28 10:47:55","I","2018-08-31 23:59:59.0","","206808.576422948    ","449396.05799662     "
"3040000","CDFH3301261995000001","1995-04-18","","03","폐업","03","폐업","2003-11-01","","","","456-5141","","143-815","서울특별시 광진구 광장동 573-1번지 ","","","구의현대스포츠센타","2003-12-26 15:42:11","I","2018-08-31 23:59:59.0","","208505.215590144    ","448701.864851016    "
"3040000","CDFH3301261999000001","1999-11-24","","03","폐업","03","폐업","2011-01-31","","","","02-450-9334","","143-847","서울특별시 광진구 능동 18-0번지 ","","","어린이대공원아이스링크","2013-03-28 10:50:56","I","2018-08-31 23:59:59.0","","207139.204095368    ","449705.67643744     "
"3040000","CDFH3301262004000001","2004-10-04","","01","영업/정상","13","영업중","","","","","02-450-4424","","143-708","서울특별시 광진구 광장동 산 21 ","서울특별시 광진구 워커힐로 177 (광장동)","04963","루(ROO)","2023-05-08 14:53:29","U","2023-05-26 08:48:36.0","","209775.267831522    ","450327.57709331     "
"3050000","CDFH3301262014000001","2014-11-25","","01","영업/정상","13","영업중","","","","","2217-3300","","130-804","서울특별시 동대문구 답십리동 463-1 ","서울특별시 동대문구 천호대로47길 34 (답십리동)","02592","(주)코리아비젼스윔(지점)","2024-04-17 09:34:31","U","2024-04-22 02:40:00.0","","203831.531062343    ","452388.114511866    "
"3050000","CDFH3301262015000001","2015-07-07","","01","영업/정상","13","영업중","","","","","02-2213-2748","","130-853","서울특별시 동대문구 전농동 188 ","서울특별시 동대문구 전농로 172 (전농동)","02505","뉴전곡스포렉스","2024-01-24 09:18:16","U","2024-01-27 02:40:00.0","","204920.894349321    ","453133.568935061    "
"3050000","CDFH3301261999000001","1999-12-07","","04","취소/말소/만료/정지/중지","35","직권말소","","","","","2246-1281","","130-841","서울특별시 동대문구 장안동 356-0번지 구민체육센터 ","","","(재)기독교 청년회 유지재단","2020-04-27 17:33:39","U","2020-04-29 02:40:00.0","","206464.060139046    ","451657.395402106    "
"3060000","CDFH3301262000000001","2000-03-21","","01","영업/정상","13","영업중","","","","","496-0070","","131-878","서울특별시 중랑구 중화동 207-0 외 4필지 ","서울특별시 중랑구 망우로 247 (중화동)","02117","로얄스포츠센타","2023-11-02 15:03:39","U","2023-11-04 02:40:00.0","","206997.270586637    ","454794.043242834    "
"3060000","CDFH3301262024000001","2024-05-29","","01","영업/정상","13","영업중","","","","","02-6925-3695","","","서울특별시 중랑구 망우동 584 신내역 프라디움 더 테라스 ","서울특별시 중랑구 용마산로 670, 208동 지하1층 (망우동, 신내역 프라디움 더 테라스)","02057","스포멤버스","2024-11-06 19:32:44","U","2024-11-08 02:40:00.0","","208947.072330515    ","456501.735079654    "
"3060000","CDFH3301262019000001","2019-06-07","","04","취소/말소/만료/정지/중지","35","직권말소","2020-10-14","","","","02-6218-8000","","","서울특별시 중랑구 망우동 440 면일초등학교 ","서울특별시 중랑구 용마산로100길 13, 면일체육문화센터 (망우동)","02184","면일체육문화센터","2020-11-19 11:23:54","U","2020-11-21 02:40:00.0","","208707.010977979    ","454412.162207365    "
"3060000","CDFH3301262012000001","2012-02-22","","04","취소/말소/만료/정지/중지","35","직권말소","2020-10-14","","","","02-432-8008","","","서울특별시 중랑구 면목동 380 중곡초등학교 ","서울특별시 중랑구 면목로23길 20 (면목동)","02245","중곡 스포렉스","2020-11-19 11:22:13","U","2020-11-21 02:40:00.0","","207318.883460369    ","452454.89800934     "
"3070000","CDFH3301262002000001","2002-05-22","","03","폐업","03","폐업","2005-10-30","","","","927-4195","","136-075","서울특별시 성북구 안암동5가 1-2번지 외23필지 ","서울특별시 성북구 인촌로 99-14 (안암동5가,외23필지)","","고려대학교실내아이스링크","2014-08-29 11:49:31","I","2018-08-31 23:59:59.0","","202789.692329185    ","454049.551940162    "
"3070000","CDFH3301262021000002","2021-05-14","","01","영업/정상","13","영업중","","","","","02-922-9026","","","서울특별시 성북구 동소문동6가 27-1 서울돈암초등학교 ","서울특별시 성북구 동소문로13길 38, 서울돈암초등학교 (동소문동6가)","02830","(주)한국스포터 성북지점 돈암교육문화관","2024-10-15 15:12:48","U","2024-10-17 02:40:00.0","","201077.338360506    ","454560.112910776    "
"3070000","CDFH3301262021000001","2021-03-11","","01","영업/정상","13","영업중","","","","","02-919-9300","","","서울특별시 성북구 장위동 68-8 서울장위초등학교 ","서울특별시 성북구 장월로8가길 41, 서울장위초등학교 (장위동)","02769","한국스포츠개발 짐리턴 성북 장위교육문화관","2023-06-12 16:16:49","U","2023-06-14 02:40:00.0","","204335.161989303    ","456645.314725935    "
"3080000","CDFH3301261989000001","1989-12-26","","03","폐업","03","폐업","2005-08-16","","","","904-4232","","142-883","서울특별시 강북구 수유동 523-2번지 ","","","삼원레져","2005-08-16 11:11:43","I","2018-08-31 23:59:59.0","","",""
"3080000","CDFH3301261991000001","1991-04-29","","03","폐업","03","폐업","2008-03-26","","","","986-2000","","142-804","서울특별시 강북구 미아동 42-8번지 ","서울특별시 강북구 도봉로 16  (미아동)","","호텔빅토리아휘트니스","2008-03-26 14:03:35","I","2018-08-31 23:59:59.0","","202651.538047427    ","456473.886142136    "
"3080000","CDFH3301262024000001","2024-02-28","","01","영업/정상","13","영업중","","","","","02-6958-8101","","","서울특별시 강북구 미아동 811-2 강북종합체육센터 ","서울특별시 강북구 솔샘로48길 14, 강북종합체육센터 (미아동)","01193","강북종합체육센터","2024-02-28 09:39:25","I","2024-03-01 00:15:52.0","","201496.115944015    ","457451.743655326    "
"3080000","CDFH3301262021000001","2021-08-26","","01","영업/정상","13","영업중","","","","","02-3408-5000","","","서울특별시 강북구 우이동 346 파라스파라 서울 ","서울특별시 강북구 삼양로 689, 파라스파라 서울 (우이동)","01000","(주)정상북한산리조트 파라스파라 서울","2022-12-12 14:23:13","U","2022-12-14 02:40:00.0","","200704.539774217    ","462416.392839185    "
"3090000","CDFH3301262016000001","2016-11-08","","01","영업/정상","13","영업중","","","","","904-9633","","","서울특별시 도봉구 창동 804 ","서울특별시 도봉구 덕릉로63가길 61 (창동, 창동대우아파트)","01465","대우스포츠센터","2020-11-04 15:52:24","U","2020-11-06 02:40:00.0","","203242.968498731    ","460001.081136921    "
"3100000","CDFH3301261997000001","1997-04-30","","03","폐업","03","폐업","2012-03-28","","","","","","139-872","서울특별시 노원구 하계동 251-7번지 ","서울특별시 노원구 노원로 247  (하계동)","","서울온천스포츠타운","2012-03-28 10:49:27","I","2018-08-31 23:59:59.0","","206406.483118126    ","459684.700181354    "
"3100000","CDFH3301262002000002","2002-10-31","","03","폐업","03","폐업","2006-01-25","","","","","","139-861","서울특별시 노원구 중계동 364-17번지 유경데파트8층 ","서울특별시 노원구 한글비석로 232  (중계동,유경데파트8층)","","유경스포츠센타","2006-08-24 11:24:44","I","2018-08-31 23:59:59.0","","206719.586259379    ","460669.836412326    "
"3100000","CDFH3301262004000001","2004-06-19","","03","폐업","03","폐업","2004-07-05","","","","","","139-831","서울특별시 노원구 상계동 764-1번지 지층 ","서울특별시 노원구 동일로 1323  (상계동,지층)","","우리스포츠센타","2004-07-23 14:12:49","I","2018-08-31 23:59:59.0","","205457.289886391    ","460487.443375594    "
"3100000","CDFH3301262004000002","2004-07-23","","03","폐업","03","폐업","2004-12-02","","","","","","139-831","서울특별시 노원구 상계동 764-1번지 지층 ","서울특별시 노원구 동일로 1323  (상계동,지층)","","하라스포츠","2006-08-24 11:25:41","I","2018-08-31 23:59:59.0","","205457.289886391    ","460487.443375594    "
"3110000","CDFH3301262004000001","2004-06-10","","02","휴업","02","휴업","","2022-06-29","2023-06-29","","02-382-2203","","122-819","서울특별시 은평구 구산동 1-24 상원빌딩 지층 ","서울특별시 은평구 서오릉로 145 (구산동,상원빌딩 지층)","","(주)상원스포월드","2022-09-22 11:02:47","U","2022-09-24 02:40:00.0","","192563.874496397    ","456570.084566278    "
"3110000","CDFH3301261992000001","1992-07-27","","03","폐업","03","폐업","2003-10-15","","","","382-7001","","122-819","서울특별시 은평구 구산동 1-24번지 ","서울특별시 은평구 서오릉로 145  (구산동)","","은평스포츠프라자","2004-02-03 16:31:38","I","2018-08-31 23:59:59.0","","192563.874496397    ","456570.084566278    "
"3110000","CDFH3301261997000001","1997-11-01","","03","폐업","03","폐업","2009-11-13","","","","358-2070","","122-845","서울특별시 은평구 대조동 231번지 삼성상가 지층동 1,2호","서울특별시 은평구 서오릉로 94, 지층동 1,2호 (대조동,삼성상가)","","삼정스포렉스","2009-11-13 09:45:38","I","2018-08-31 23:59:59.0","","193019.403382395    ","456302.92877653     "
