,역이름,y,x,호선,geometry
290,서정리,37.056496,127.052819,['01호선'],POINT (127.052819 37.056496)
292,평택,36.990726,127.085159,['01호선'],POINT (127.085159 36.990726)
293,성환,36.916076,127.126964,['01호선'],POINT (127.126964 36.916076)
294,직산,36.870593,127.143904,['01호선'],POINT (127.143904 36.870593)
295,두정,36.833705,127.14896,['01호선'],POINT (127.14896 36.833705)
296,천안,36.810005,127.146826,['01호선'],POINT (127.146826 36.810005)
297,당정,37.344285,126.948345,['01호선'],POINT (126.948345 37.344285)
298,서동탄,37.195504,127.051672,['01호선'],POINT (127.051672 37.195504)
299,광명,37.416182,126.884466,['01호선'],POINT (126.884466 37.416182)
300,산본,37.358101,126.933274,['04호선'],POINT (126.933274 37.358101)
301,대야미,37.328467,126.917332,['04호선'],POINT (126.917332 37.328467)
302,반월,37.312212,126.903524,['04호선'],POINT (126.903524 37.312212)
303,상록수,37.302795,126.866489,['04호선'],POINT (126.866489 37.302795)
304,한대앞,37.309689,126.85344,"['04호선', '수인분당선']",POINT (126.85344 37.309689)
305,중앙,37.315941,126.838573,"['04호선', '수인분당선']",POINT (126.838573 37.315941)
306,고잔,37.316777,126.823249,"['04호선', '수인분당선']",POINT (126.823249 37.316777)
307,초지,37.320646,126.805913,"['04호선', '서해선', '수인분당선']",POINT (126.805913 37.320646)
308,안산,37.327082,126.788532,"['04호선', '수인분당선']",POINT (126.788532 37.327082)
309,신길온천,37.338212,126.765844,"['04호선', '수인분당선']",POINT (126.765844 37.338212)
310,정왕,37.351735,126.742989,"['04호선', '수인분당선']",POINT (126.742989 37.351735)
311,수리산,37.349801,126.925365,['04호선'],POINT (126.925365 37.349801)
312,개봉,37.494594,126.85868,['01호선'],POINT (126.85868 37.494594)
313,오류동,37.494526,126.845365,['01호선'],POINT (126.845365 37.494526)
314,역곡,37.485178,126.811502,['01호선'],POINT (126.811502 37.485178)
315,부천,37.48405,126.782686,['01호선'],POINT (126.782686 37.48405)
316,송내,37.4876,126.753664,['01호선'],POINT (126.753664 37.4876)
317,백운,37.483664,126.707704,['01호선'],POINT (126.707704 37.483664)
318,동암,37.471408,126.702896,['01호선'],POINT (126.702896 37.471408)
319,제물포,37.466769,126.656666,['01호선'],POINT (126.656666 37.466769)
320,동인천,37.475276,126.632802,['01호선'],POINT (126.632802 37.475276)
321,부개,37.488418,126.74109,['01호선'],POINT (126.74109 37.488418)
322,간석,37.464737,126.694181,['01호선'],POINT (126.694181 37.464737)
323,도원,37.468446,126.642706,['01호선'],POINT (126.642706 37.468446)
324,중동,37.486562,126.764843,['01호선'],POINT (126.764843 37.486562)
325,도화,37.46607,126.668672,['01호선'],POINT (126.668672 37.46607)
326,서울숲,37.543617,127.044707,['수인분당선'],POINT (127.044707 37.543617)
327,압구정로데오,37.527381,127.040534,['수인분당선'],POINT (127.040534 37.527381)
328,소사,37.482753,126.79544,"['01호선', '서해선']",POINT (126.79544 37.482753)
329,가천대,37.448605,127.126697,['수인분당선'],POINT (127.126697 37.448605)
330,태평,37.440019,127.127709,['수인분당선'],POINT (127.127709 37.440019)
331,서현,37.385126,127.123592,['수인분당선'],POINT (127.123592 37.385126)
332,수내,37.378455,127.114322,['수인분당선'],POINT (127.114322 37.378455)
333,미금,37.350077,127.10891,"['수인분당선', '신분당선']",POINT (127.10891 37.350077)
334,오리,37.339824,127.108942,['수인분당선'],POINT (127.108942 37.339824)
335,보정,37.312752,127.108196,['수인분당선'],POINT (127.108196 37.312752)
336,죽전,37.324753,127.107395,['수인분당선'],POINT (127.107395 37.324753)
337,신갈,37.286102,127.111313,['수인분당선'],POINT (127.111313 37.286102)
338,상갈,37.26181,127.108847,['수인분당선'],POINT (127.108847 37.26181)
339,청명,37.259489,127.078934,['수인분당선'],POINT (127.078934 37.259489)
340,영통,37.251568,127.071394,['수인분당선'],POINT (127.071394 37.251568)
341,망포,37.245795,127.057353,['수인분당선'],POINT (127.057353 37.245795)
342,매탄권선,37.252759,127.040566,['수인분당선'],POINT (127.040566 37.252759)
343,수원시청,37.261911,127.030736,['수인분당선'],POINT (127.030736 37.261911)
344,매교,37.265481,127.015678,['수인분당선'],POINT (127.015678 37.265481)
345,월곶,37.391769,126.742699,['수인분당선'],POINT (126.742699 37.391769)
346,소래포구,37.40095,126.733522,['수인분당선'],POINT (126.733522 37.40095)
347,인천논현,37.400614,126.722478,['수인분당선'],POINT (126.722478 37.400614)
348,호구포,37.401637,126.708627,['수인분당선'],POINT (126.708627 37.401637)
349,남동인더스파크,37.407722,126.695216,['수인분당선'],POINT (126.695216 37.407722)
350,연수,37.417804,126.67894,['수인분당선'],POINT (126.67894 37.417804)
351,송도,37.428514,126.657772,['수인분당선'],POINT (126.657772 37.428514)
352,신포,37.46874,126.623853,['수인분당선'],POINT (126.623853 37.46874)
353,방학,37.667503,127.044273,['01호선'],POINT (127.044273 37.667503)
354,도봉,37.679563,127.045595,['01호선'],POINT (127.045595 37.679563)
355,망월사,37.709914,127.047455,['01호선'],POINT (127.047455 37.709914)
356,의정부,37.738415,127.045958,['01호선'],POINT (127.045958 37.738415)
357,가능,37.748577,127.044213,['01호선'],POINT (127.044213 37.748577)
358,녹양,37.75938,127.042292,['01호선'],POINT (127.042292 37.75938)
359,양주,37.774381,127.044708,['01호선'],POINT (127.044708 37.774381)
360,덕계,37.818486,127.056486,['01호선'],POINT (127.056486 37.818486)
361,덕정,37.843188,127.061277,['01호선'],POINT (127.061277 37.843188)
362,지행,37.892334,127.055716,['01호선'],POINT (127.055716 37.892334)
363,동두천중앙,37.901885,127.056482,['01호선'],POINT (127.056482 37.901885)
364,보산,37.913702,127.057277,['01호선'],POINT (127.057277 37.913702)
365,동두천,37.927878,127.05479,['01호선'],POINT (127.05479 37.927878)
366,소요산,37.9481,127.061034,['01호선'],POINT (127.061034 37.9481)
367,원당,37.653324,126.843041,['03호선'],POINT (126.843041 37.653324)
368,백석,37.643114,126.78787,['03호선'],POINT (126.78787 37.643114)
369,마두,37.652206,126.77762,['03호선'],POINT (126.77762 37.652206)
370,정발산,37.659477,126.773359,['03호선'],POINT (126.773359 37.659477)
371,주엽,37.670072,126.761334,['03호선'],POINT (126.761334 37.670072)
372,대화,37.676087,126.747569,['03호선'],POINT (126.747569 37.676087)
373,방화,37.577446,126.812741,['05호선'],POINT (126.812741 37.577446)
374,개화산,37.572399,126.806171,['05호선'],POINT (126.806171 37.572399)
375,송정,37.561184,126.811973,['05호선'],POINT (126.811973 37.561184)
376,마곡,37.560183,126.825448,['05호선'],POINT (126.825448 37.560183)
377,발산,37.558598,126.837668,['05호선'],POINT (126.837668 37.558598)
378,우장산,37.548768,126.836318,['05호선'],POINT (126.836318 37.548768)
379,화곡,37.541513,126.840461,['05호선'],POINT (126.840461 37.541513)
380,신정,37.524997,126.856191,['05호선'],POINT (126.856191 37.524997)
381,목동,37.526065,126.864931,['05호선'],POINT (126.864931 37.526065)
382,오목교,37.524496,126.875181,['05호선'],POINT (126.875181 37.524496)
383,양평,37.525648,126.885778,"['05호선', '경의선']",POINT (126.885778 37.525648)
384,여의나루,37.527098,126.932901,['05호선'],POINT (126.932901 37.527098)
385,마포,37.539574,126.945932,['05호선'],POINT (126.945932 37.539574)
386,애오개,37.553736,126.95682,['05호선'],POINT (126.95682 37.553736)
387,서대문,37.565773,126.966641,['05호선'],POINT (126.966641 37.565773)
388,광화문,37.571026,126.976669,['05호선'],POINT (126.976669 37.571026)
389,신금호,37.554548,127.020331,['05호선'],POINT (127.020331 37.554548)
390,행당,37.557322,127.029476,['05호선'],POINT (127.029476 37.557322)
391,마장,37.5661,127.042973,['05호선'],POINT (127.042973 37.5661)
392,답십리,37.566747,127.052704,['05호선'],POINT (127.052704 37.566747)
393,장한평,37.56144,127.064623,['05호선'],POINT (127.064623 37.56144)
394,아차산,37.551691,127.089761,['05호선'],POINT (127.089761 37.551691)
395,광나루,37.545303,127.10357,['05호선'],POINT (127.10357 37.545303)
396,강동,37.535804,127.132481,['05호선'],POINT (127.132481 37.535804)
397,길동,37.537801,127.140004,['05호선'],POINT (127.140004 37.537801)
398,굽은다리,37.545477,127.142853,['05호선'],POINT (127.142853 37.545477)
399,명일,37.55137,127.143999,['05호선'],POINT (127.143999 37.55137)
400,고덕,37.555004,127.154151,['05호선'],POINT (127.154151 37.555004)
401,둔촌동,37.527788,127.136248,['05호선'],POINT (127.136248 37.527788)
402,올림픽공원,37.516078,127.130848,"['05호선', '09호선']",POINT (127.130848 37.516078)
403,방이,37.508857,127.126133,['05호선'],POINT (127.126133 37.508857)
404,개롱,37.498079,127.13482,['05호선'],POINT (127.13482 37.498079)
405,거여,37.493105,127.14415,['05호선'],POINT (127.14415 37.493105)
406,마천,37.49499,127.152781,['05호선'],POINT (127.152781 37.49499)
407,응암,37.598605,126.915577,['06호선'],POINT (126.915577 37.598605)
408,역촌,37.606021,126.922744,['06호선'],POINT (126.922744 37.606021)
409,독바위,37.618456,126.933031,['06호선'],POINT (126.933031 37.618456)
410,구산,37.611377,126.91727,['06호선'],POINT (126.91727 37.611377)
411,새절,37.591148,126.913629,['06호선'],POINT (126.913629 37.591148)
412,증산,37.583876,126.909645,['06호선'],POINT (126.909645 37.583876)
413,월드컵경기장,37.569532,126.899298,['06호선'],POINT (126.899298 37.569532)
414,마포구청,37.563515,126.903343,['06호선'],POINT (126.903343 37.563515)
415,망원,37.556094,126.910052,['06호선'],POINT (126.910052 37.556094)
416,상수,37.547716,126.922852,['06호선'],POINT (126.922852 37.547716)
417,광흥창,37.547456,126.931993,['06호선'],POINT (126.931993 37.547456)
418,대흥,37.547771,126.942069,['06호선'],POINT (126.942069 37.547771)
419,녹사평,37.534675,126.986695,['06호선'],POINT (126.986695 37.534675)
420,이태원,37.534488,126.994302,['06호선'],POINT (126.994302 37.534488)
421,한강진,37.539631,127.001725,['06호선'],POINT (127.001725 37.539631)
422,버티고개,37.548013,127.007055,['06호선'],POINT (127.007055 37.548013)
423,창신,37.579661,127.015241,['06호선'],POINT (127.015241 37.579661)
424,안암,37.586272,127.029005,['06호선'],POINT (127.029005 37.586272)
425,고려대,37.590508,127.036296,['06호선'],POINT (127.036296 37.590508)
426,월곡,37.601948,127.041518,['06호선'],POINT (127.041518 37.601948)
427,상월곡,37.606377,127.048491,['06호선'],POINT (127.048491 37.606377)
428,돌곶이,37.610537,127.056431,['06호선'],POINT (127.056431 37.610537)
429,화랑대,37.620064,127.084689,['06호선'],POINT (127.084689 37.620064)
430,봉화산,37.617283,127.091401,['06호선'],POINT (127.091401 37.617283)
431,장암,37.700109,127.053196,['07호선'],POINT (127.053196 37.700109)
432,수락산,37.67785,127.055315,['07호선'],POINT (127.055315 37.67785)
433,마들,37.66494,127.057675,['07호선'],POINT (127.057675 37.66494)
434,중계,37.644583,127.064303,['07호선'],POINT (127.064303 37.644583)
435,하계,37.636352,127.06799,['07호선'],POINT (127.06799 37.636352)
436,먹골,37.610637,127.077725,['07호선'],POINT (127.077725 37.610637)
437,중화,37.602545,127.079264,['07호선'],POINT (127.079264 37.602545)
438,면목,37.588579,127.087503,['07호선'],POINT (127.087503 37.588579)
439,사가정,37.580894,127.088478,['07호선'],POINT (127.088478 37.580894)
440,용마산,37.573647,127.086727,['07호선'],POINT (127.086727 37.573647)
441,중곡,37.565923,127.08432,['07호선'],POINT (127.08432 37.565923)
442,어린이대공원,37.548014,127.074658,['07호선'],POINT (127.074658 37.548014)
444,청담,37.519365,127.05335,['07호선'],POINT (127.05335 37.519365)
445,학동,37.514229,127.031656,['07호선'],POINT (127.031656 37.514229)
446,논현,37.511093,127.021415,"['07호선', '신분당선']",POINT (127.021415 37.511093)
447,반포,37.508178,127.011727,['07호선'],POINT (127.011727 37.508178)
448,내방,37.487618,126.993513,['07호선'],POINT (126.993513 37.487618)
449,남성,37.484596,126.971251,['07호선'],POINT (126.971251 37.484596)
450,숭실대입구,37.496029,126.953822,['07호선'],POINT (126.953822 37.496029)
451,장승배기,37.504898,126.93915,['07호선'],POINT (126.93915 37.504898)
452,신대방삼거리,37.499701,126.928276,['07호선'],POINT (126.928276 37.499701)
453,보라매,37.499872,126.920428,"['07호선', '신림선']",POINT (126.920428 37.499872)
454,신풍,37.50008,126.90993,['07호선'],POINT (126.90993 37.50008)
455,남구로,37.486056,126.887249,['07호선'],POINT (126.887249 37.486056)
456,철산,37.47605,126.867911,['07호선'],POINT (126.867911 37.47605)
457,광명사거리,37.479252,126.854876,['07호선'],POINT (126.854876 37.479252)
458,천왕,37.486637,126.838713,['07호선'],POINT (126.838713 37.486637)
459,까치울,37.506207,126.810939,['07호선'],POINT (126.810939 37.506207)
460,부천종합운동장,37.50538,126.797337,"['07호선', '서해선']",POINT (126.797337 37.50538)
461,춘의,37.503663,126.787036,['07호선'],POINT (126.787036 37.503663)
462,신중동,37.503048,126.77596,['07호선'],POINT (126.77596 37.503048)
463,부천시청,37.504631,126.763538,['07호선'],POINT (126.763538 37.504631)
464,상동,37.505781,126.753083,['07호선'],POINT (126.753083 37.505781)
465,삼산체육관,37.506411,126.742153,['07호선'],POINT (126.742153 37.506411)
466,굴포천,37.506997,126.73128,['07호선'],POINT (126.73128 37.506997)
467,암사,37.55021,127.127562,['08호선'],POINT (127.127562 37.55021)
468,강동구청,37.530341,127.120508,['08호선'],POINT (127.120508 37.530341)
469,몽촌토성,37.517409,127.112359,['08호선'],POINT (127.112359 37.517409)
470,석촌,37.505431,127.106979,"['08호선', '09호선']",POINT (127.106979 37.505431)
471,송파,37.499703,127.112183,['08호선'],POINT (127.112183 37.499703)
472,문정,37.485855,127.1225,['08호선'],POINT (127.1225 37.485855)
473,장지,37.478703,127.126191,['08호선'],POINT (127.126191 37.478703)
474,산성,37.457122,127.149908,['08호선'],POINT (127.149908 37.457122)
475,남한산성입구,37.451535,127.159816,['08호선'],POINT (127.159816 37.451535)
476,단대오거리,37.44521,127.156866,['08호선'],POINT (127.156866 37.44521)
477,신흥,37.440918,127.147564,['08호선'],POINT (127.147564 37.440918)
478,수진,37.437428,127.140722,['08호선'],POINT (127.140722 37.437428)
479,귤현,37.566379,126.742654,['인천선'],POINT (126.742654 37.566379)
480,임학,37.545059,126.738665,['인천선'],POINT (126.738665 37.545059)
481,계산,37.543238,126.728128,['인천선'],POINT (126.728128 37.543238)
482,경인교대입구,37.538157,126.722597,['인천선'],POINT (126.722597 37.538157)
483,작전,37.530415,126.722527,['인천선'],POINT (126.722527 37.530415)
484,갈산,37.517268,126.721514,['인천선'],POINT (126.721514 37.517268)
485,부평시장,37.498383,126.722244,['인천선'],POINT (126.722244 37.498383)
486,동수,37.485312,126.718247,['인천선'],POINT (126.718247 37.485312)
487,부평삼거리,37.477679,126.710208,['인천선'],POINT (126.710208 37.477679)
488,간석오거리,37.467048,126.707938,['인천선'],POINT (126.707938 37.467048)
489,예술회관,37.449396,126.701012,['인천선'],POINT (126.701012 37.449396)
490,인천터미널,37.442383,126.699706,['인천선'],POINT (126.699706 37.442383)
491,문학경기장,37.434935,126.698579,['인천선'],POINT (126.698579 37.434935)
492,선학,37.426684,126.698863,['인천선'],POINT (126.698863 37.426684)
493,신연수,37.41804,126.693863,['인천선'],POINT (126.693863 37.41804)
494,동춘,37.404737,126.681015,['인천선'],POINT (126.681015 37.404737)
495,동막,37.397878,126.674005,['인천선'],POINT (126.674005 37.397878)
496,캠퍼스타운,37.387855,126.661673,['인천선'],POINT (126.661673 37.387855)
497,테크노파크,37.382268,126.656365,['인천선'],POINT (126.656365 37.382268)
498,지식정보단지,37.378384,126.645168,['인천선'],POINT (126.645168 37.378384)
499,인천대입구,37.386007,126.639484,['인천선'],POINT (126.639484 37.386007)
500,검단오류,37.594877,126.627178,['인천2호선'],POINT (126.627178 37.594877)
501,왕길,37.59518,126.642696,['인천2호선'],POINT (126.642696 37.59518)
502,검단사거리,37.60185,126.657108,['인천2호선'],POINT (126.657108 37.60185)
503,마전,37.597566,126.666998,['인천2호선'],POINT (126.666998 37.597566)
504,독정,37.585212,126.675844,['인천2호선'],POINT (126.675844 37.585212)
505,검바위,37.561405,126.677566,['인천2호선'],POINT (126.677566 37.561405)
506,아시아드경기장,37.5517,126.677122,['인천2호선'],POINT (126.677122 37.5517)
507,서구청,37.543742,126.676787,['인천2호선'],POINT (126.676787 37.543742)
508,가정,37.524649,126.675539,['인천2호선'],POINT (126.675539 37.524649)
509,가정중앙시장,37.517054,126.676672,['인천2호선'],POINT (126.676672 37.517054)
510,석남,37.506193,126.676203,"['07호선', '인천2호선']",POINT (126.676203 37.506193)
511,서부여성회관,37.506193,126.676203,['인천2호선'],POINT (126.676203 37.506193)
512,인천가좌,37.4897,126.675208,['인천2호선'],POINT (126.675208 37.4897)
513,가재울,37.484192,126.683673,['인천2호선'],POINT (126.683673 37.484192)
514,주안국가산단,37.473703,126.68113,['인천2호선'],POINT (126.68113 37.473703)
515,시민공원,37.458335,126.681192,['인천2호선'],POINT (126.681192 37.458335)
516,석천사거리,37.456805,126.709986,['인천2호선'],POINT (126.709986 37.456805)
517,모래내시장,37.45583,126.719298,['인천2호선'],POINT (126.719298 37.45583)
518,만수,37.454911,126.732094,['인천2호선'],POINT (126.732094 37.454911)
519,남동구청,37.448161,126.736939,['인천2호선'],POINT (126.736939 37.448161)
520,인천대공원,37.448769,126.752618,['인천2호선'],POINT (126.752618 37.448769)
521,운연,37.440127,126.75997,['인천2호선'],POINT (126.75997 37.440127)
522,개화,37.578608,126.798153,['09호선'],POINT (126.798153 37.578608)
523,공항시장,37.563726,126.810678,['09호선'],POINT (126.810678 37.563726)
524,신방화,37.567532,126.816601,['09호선'],POINT (126.816601 37.567532)
525,마곡나루,37.567336,126.829497,"['09호선', '공항철도']",POINT (126.829497 37.567336)
526,양천향교,37.568381,126.841333,['09호선'],POINT (126.841333 37.568381)
527,가양,37.561391,126.854456,['09호선'],POINT (126.854456 37.561391)
528,증미,37.557402,126.861939,['09호선'],POINT (126.861939 37.557402)
529,등촌,37.550632,126.865689,['09호선'],POINT (126.865689 37.550632)
530,염창,37.546936,126.874916,['09호선'],POINT (126.874916 37.546936)
531,신목동,37.544277,126.88308,['09호선'],POINT (126.88308 37.544277)
532,선유도,37.53802,126.893525,['09호선'],POINT (126.893525 37.53802)
533,국회의사당,37.528105,126.917874,['09호선'],POINT (126.917874 37.528105)
534,샛강,37.517274,126.928422,"['09호선', '신림선']",POINT (126.928422 37.517274)
535,노들,37.512887,126.953222,['09호선'],POINT (126.953222 37.512887)
536,흑석,37.50877,126.963708,['09호선'],POINT (126.963708 37.50877)
537,구반포,37.501364,126.987332,['09호선'],POINT (126.987332 37.501364)
538,신반포,37.503415,126.995925,['09호선'],POINT (126.995925 37.503415)
539,사평,37.504206,127.015259,['09호선'],POINT (127.015259 37.504206)
540,신논현,37.504598,127.02506,"['09호선', '신분당선']",POINT (127.02506 37.504598)
541,언주,37.507287,127.033868,['09호선'],POINT (127.033868 37.507287)
542,삼성중앙,37.513011,127.053282,['09호선'],POINT (127.053282 37.513011)
543,봉은사,37.514219,127.060245,['09호선'],POINT (127.060245 37.514219)
544,청라국제도시,37.555878,126.625327,['공항철도'],POINT (126.625327 37.555878)
545,운서,37.492904,126.49379,['공항철도'],POINT (126.49379 37.492904)
546,공항화물청사,37.458366,126.476241,['공항철도'],POINT (126.476241 37.458366)
548,영종,37.511466,126.5237,['공항철도'],POINT (126.5237 37.511466)
549,양재시민의숲,37.470023,127.03842,['신분당선'],POINT (127.03842 37.470023)
550,김량장,37.237247,127.198781,['용인경전철'],POINT (127.198781 37.237247)
552,고진,37.24484,127.214251,['용인경전철'],POINT (127.214251 37.24484)
553,보평,37.258965,127.218457,['용인경전철'],POINT (127.218457 37.258965)
554,둔전,37.267051,127.21364,['용인경전철'],POINT (127.21364 37.267051)
556,발곡,37.727048,127.052803,['의정부경전철'],POINT (127.052803 37.727048)
557,범골,37.728755,127.04353,['의정부경전철'],POINT (127.04353 37.728755)
558,경전철의정부,37.737202,127.043257,['의정부경전철'],POINT (127.043257 37.737202)
559,의정부시청,37.739256,127.034781,['의정부경전철'],POINT (127.034781 37.739256)
560,흥선,37.743302,127.037023,['의정부경전철'],POINT (127.037023 37.743302)
561,의정부중앙,37.743676,127.049565,['의정부경전철'],POINT (127.049565 37.743676)
562,동오,37.745271,127.056947,['의정부경전철'],POINT (127.056947 37.745271)
563,새말,37.748885,127.06362,['의정부경전철'],POINT (127.06362 37.748885)
564,경기도청북부청사,37.75059,127.071495,['의정부경전철'],POINT (127.071495 37.75059)
565,효자,37.754025,127.076902,['의정부경전철'],POINT (127.076902 37.754025)
566,곤제,37.750471,127.083715,['의정부경전철'],POINT (127.083715 37.750471)
567,어룡,37.742802,127.085035,['의정부경전철'],POINT (127.085035 37.742802)
568,송산,37.737279,127.087159,['의정부경전철'],POINT (127.087159 37.737279)
569,솔밭공원,37.656088,127.013252,['우이신설경전철'],POINT (127.013252 37.656088)
570,삼양,37.627165,127.018152,['우이신설경전철'],POINT (127.018152 37.627165)
571,삼양사거리,37.621512,127.02048,['우이신설경전철'],POINT (127.02048 37.621512)
572,솔샘,37.62124,127.013528,['우이신설경전철'],POINT (127.013528 37.62124)
573,북한산보국문,37.612343,127.008009,['우이신설경전철'],POINT (127.008009 37.612343)
574,정릉,37.602798,127.01349,['우이신설경전철'],POINT (127.01349 37.602798)
575,동천,37.337928,127.102976,['신분당선'],POINT (127.102976 37.337928)
576,수지구청,37.322702,127.095026,['신분당선'],POINT (127.095026 37.322702)
577,성복,37.313335,127.0801,['신분당선'],POINT (127.0801 37.313335)
578,상현,37.297664,127.069342,['신분당선'],POINT (127.069342 37.297664)
579,광교중앙,37.288617,127.051478,['신분당선'],POINT (127.051478 37.288617)
580,광교,37.30211,127.044483,['신분당선'],POINT (127.044483 37.30211)
581,강남대,37.270161,127.126033,['용인경전철'],POINT (127.126033 37.270161)
582,지석,37.269606,127.136515,['용인경전철'],POINT (127.136515 37.269606)
583,어정,37.274917,127.143714,['용인경전철'],POINT (127.143714 37.274917)
584,동백,37.269043,127.152716,['용인경전철'],POINT (127.152716 37.269043)
585,초당,37.260752,127.159443,['용인경전철'],POINT (127.159443 37.260752)
586,삼가,37.242115,127.168075,['용인경전철'],POINT (127.168075 37.242115)
588,명지대,37.237964,127.190294,['용인경전철'],POINT (127.190294 37.237964)
