Unnamed: 0,역이름,y,x,호선,geometry,시도,구,동
0,가락시장,37.492522,127.118234,"['03호선', '08호선']",POINT (127.118234 37.492522),서울특별시,송파구,가락동
1,종로3가,37.571607,126.991806,"['01호선', '03호선', '05호선']",POINT (126.991806 37.571607),서울특별시,종로구,묘동
2,오금,37.502162,127.128111,"['03호선', '05호선']",POINT (127.128111 37.502162),서울특별시,송파구,오금동
3,동대문,37.57142,127.009745,"['01호선', '04호선']",POINT (127.009745 37.57142),서울특별시,종로구,종로6가
4,동대문역사문화공원,37.565138,127.007896,"['02호선', '04호선', '05호선']",POINT (127.007896 37.565138),서울특별시,중구,을지로7가
5,충무로,37.561243,126.99428,"['03호선', '04호선']",POINT (126.99428 37.561243),서울특별시,중구,필동2가
6,서울,37.554648,126.972559,['GTX-A'],POINT (126.972559 37.554648),서울특별시,중구,봉래동2가
7,신도림,37.508725,126.891295,"['01호선', '02호선']",POINT (126.891295 37.508725),서울특별시,구로구,신도림동
8,이촌,37.522272,126.974345,"['04호선', '경의선']",POINT (126.974345 37.522272),서울특별시,용산구,용산동5가
9,왕십리,37.561533,127.037732,"['02호선', '05호선', '경의선', '수인분당선']",POINT (127.037732 37.561533),서울특별시,성동구,행당동
10,시청,37.564718,126.977108,"['01호선', '02호선']",POINT (126.977108 37.564718),서울특별시,중구,태평로2가
11,교대,37.493415,127.01408,"['02호선', '03호선']",POINT (127.01408 37.493415),서울특별시,서초구,서초동
12,신설동,37.575297,127.025087,"['01호선', '02호선', '우이신설경전철']",POINT (127.025087 37.575297),서울특별시,동대문구,신설동
13,강변,37.535095,127.094681,['02호선'],POINT (127.094681 37.535095),서울특별시,광진구,구의동
14,까치산,37.531768,126.846683,"['02호선', '05호선']",POINT (126.846683 37.531768),서울특별시,강서구,화곡동
15,을지로3가,37.566295,126.99191,"['02호선', '03호선']",POINT (126.99191 37.566295),서울특별시,중구,을지로3가
16,홍대입구,37.557192,126.925381,"['02호선', '경의선', '공항철도']",POINT (126.925381 37.557192),서울특별시,마포구,동교동
17,광운대,37.623632,127.061835,"['01호선', '경춘선']",POINT (127.061835 37.623632),서울특별시,노원구,월계동
18,상봉,37.596362,127.085032,"['07호선', '경의선', '경춘선']",POINT (127.085032 37.596362),서울특별시,중랑구,상봉동
19,망우,37.59955,127.091909,"['경의선', '경춘선']",POINT (127.091909 37.59955),서울특별시,중랑구,상봉동
20,영등포구청,37.52497,126.895951,"['02호선', '05호선']",POINT (126.895951 37.52497),서울특별시,영등포구,당산동3가
21,신길,37.517122,126.917169,"['01호선', '05호선']",POINT (126.917169 37.517122),서울특별시,영등포구,신길동
22,을지로4가,37.566941,126.998079,"['02호선', '05호선']",POINT (126.998079 37.566941),서울특별시,중구,을지로4가
23,합정,37.549463,126.913739,"['02호선', '06호선']",POINT (126.913739 37.549463),서울특별시,마포구,합정동
24,공덕,37.544018,126.951592,"['05호선', '06호선', '경의선', '공항철도']",POINT (126.951592 37.544018),서울특별시,마포구,공덕동
25,삼각지,37.534777,126.97311,"['04호선', '06호선']",POINT (126.97311 37.534777),서울특별시,용산구,한강로1가
26,약수,37.55434,127.010655,"['03호선', '06호선']",POINT (127.010655 37.55434),서울특별시,중구,신당동
27,신당,37.565972,127.01782,"['02호선', '06호선']",POINT (127.01782 37.565972),서울특별시,중구,흥인동
28,동묘앞,37.572627,127.016429,"['01호선', '06호선']",POINT (127.016429 37.572627),서울특별시,종로구,숭인동
29,석계,37.614805,127.065851,"['01호선', '06호선']",POINT (127.065851 37.614805),서울특별시,성북구,석관동
30,도봉산,37.689313,127.046222,"['01호선', '07호선']",POINT (127.046222 37.689313),서울특별시,도봉구,도봉동
31,불광,37.610469,126.929887,"['03호선', '06호선']",POINT (126.929887 37.610469),서울특별시,은평구,대조동
32,연신내,37.619001,126.921008,"['03호선', '06호선', 'GTX-A']",POINT (126.921008 37.619001),서울특별시,은평구,갈현동
33,금정,37.372221,126.943429,"['01호선', '04호선']",POINT (126.943429 37.372221),경기도,군포시,금정동
34,수원,37.265974,126.999874,"['01호선', '수인분당선']",POINT (126.999874 37.265974),경기도,수원시,팔달구
35,원인재,37.412603,126.687389,"['수인분당선', '인천선']",POINT (126.687389 37.412603),인천광역시,연수구,연수동
36,회기,37.58946,127.057583,"['01호선', '경의선', '경춘선']",POINT (127.057583 37.58946),서울특별시,동대문구,휘경동
37,대곡,37.631626,126.811024,"['03호선', 'GTX-A', '경의선', '서해선']",POINT (126.811024 37.631626),경기도,고양시,덕양구
38,디지털미디어시티,37.576646,126.900984,"['06호선', '경의선', '공항철도']",POINT (126.900984 37.576646),서울특별시,마포구,상암동
39,회룡,37.724846,127.046895,"['01호선', '의정부경전철']",POINT (127.046895 37.724846),경기도,의정부시,호원동
40,판교,37.394761,127.111217,"['경강선', '신분당선']",POINT (127.111217 37.394761),경기도,성남시,분당구
41,오이도,37.362357,126.738714,"['04호선', '수인분당선']",POINT (126.738714 37.362357),경기도,시흥시,정왕동
42,이매,37.396104,127.12827,"['경강선', '수인분당선']",POINT (127.12827 37.396104),경기도,성남시,분당구
43,선정릉,37.51098,127.043593,"['09호선', '수인분당선']",POINT (127.043593 37.51098),서울특별시,강남구,논현동
44,종합운동장,37.510997,127.073642,"['02호선', '09호선']",POINT (127.073642 37.510997),서울특별시,송파구,잠실동
45,천호,37.538397,127.123572,"['05호선', '08호선']",POINT (127.123572 37.538397),서울특별시,강동구,성내동
46,창동,37.653166,127.047731,"['01호선', '04호선']",POINT (127.047731 37.653166),서울특별시,도봉구,창동
47,사당,37.47653,126.981685,"['02호선', '04호선']",POINT (126.981685 37.47653),서울특별시,동작구,사당동
48,노원,37.655128,127.061368,"['04호선', '07호선']",POINT (127.061368 37.655128),서울특별시,노원구,상계동
49,군자,37.557121,127.079542,"['05호선', '07호선']",POINT (127.079542 37.557121),서울특별시,광진구,능동
50,건대입구,37.540693,127.07023,"['02호선', '07호선']",POINT (127.07023 37.540693),서울특별시,광진구,화양동
51,고속터미널,37.50481,127.004943,"['03호선', '07호선', '09호선']",POINT (127.004943 37.50481),서울특별시,서초구,반포동
53,대림,37.49297,126.895801,"['02호선', '07호선']",POINT (126.895801 37.49297),서울특별시,영등포구,대림동
54,가산디지털단지,37.481072,126.882343,"['01호선', '07호선']",POINT (126.882343 37.481072),서울특별시,금천구,가산동
55,온수,37.492258,126.823388,"['01호선', '07호선']",POINT (126.823388 37.492258),서울특별시,구로구,온수동
56,부평구청,37.508336,126.720548,"['07호선', '인천선']",POINT (126.720548 37.508336),인천광역시,부평구,청천동
57,잠실,37.51395,127.102234,"['02호선', '08호선']",POINT (127.102234 37.51395),서울특별시,송파구,신천동
58,복정,37.470047,127.126662,"['08호선', '수인분당선']",POINT (127.126662 37.470047),서울특별시,송파구,장지동
59,모란,37.43213,127.129087,"['08호선', '수인분당선']",POINT (127.129087 37.43213),경기도,성남시,중원구
60,부평,37.489493,126.724805,"['01호선', '인천선']",POINT (126.724805 37.489493),인천광역시,부평구,부평동
61,당산,37.53438,126.902281,"['02호선', '09호선']",POINT (126.902281 37.53438),서울특별시,영등포구,당산동6가
62,여의도,37.521624,126.924191,"['05호선', '09호선']",POINT (126.924191 37.521624),서울특별시,영등포구,여의도동
63,동작,37.502971,126.979306,"['04호선', '09호선']",POINT (126.979306 37.502971),서울특별시,동작구,동작동
64,김포공항,37.562434,126.801058,"['05호선', '09호선', '공항철도', '김포도시철도', '서해선']",POINT (126.801058 37.562434),서울특별시,강서구,방화동
65,강남,37.497175,127.027926,"['02호선', '신분당선']",POINT (127.027926 37.497175),서울특별시,서초구,서초동
66,양재,37.484147,127.034631,"['03호선', '신분당선']",POINT (127.034631 37.484147),서울특별시,서초구,양재동
67,정자,37.36706,127.108105,"['수인분당선', '신분당선']",POINT (127.108105 37.36706),경기도,성남시,분당구
68,강남구청,37.517186,127.04128,"['07호선', '수인분당선']",POINT (127.04128 37.517186),서울특별시,강남구,논현동
69,선릉,37.504503,127.049008,"['02호선', '수인분당선']",POINT (127.049008 37.504503),서울특별시,강남구,대치동
70,효창공원앞,37.539261,126.961351,"['06호선', '경의선']",POINT (126.961351 37.539261),서울특별시,용산구,효창동
71,태릉입구,37.617983,127.07512,"['06호선', '07호선']",POINT (127.07512 37.617983),서울특별시,노원구,공릉동
72,검암,37.569104,126.673728,"['공항철도', '인천2호선']",POINT (126.673728 37.569104),인천광역시,서구,시천동
73,주안,37.464941,126.679923,"['01호선', '인천2호선']",POINT (126.679923 37.464941),인천광역시,미추홀구,주안동
74,인천,37.476691,126.616936,"['01호선', '수인분당선']",POINT (126.616936 37.476691),인천광역시,중구,북성동1가
75,인천시청,37.457405,126.702221,"['인천2호선', '인천선']",POINT (126.702221 37.457405),인천광역시,남동구,간석동
76,청량리,37.580178,127.046835,"['01호선', '경의선', '경춘선', '수인분당선']",POINT (127.046835 37.580178),서울특별시,동대문구,전농동
77,중랑,37.594917,127.076116,"['경의선', '경춘선']",POINT (127.076116 37.594917),서울특별시,중랑구,중화동
78,충정로,37.559973,126.963672,"['02호선', '05호선']",POINT (126.963672 37.559973),서울특별시,서대문구,충정로3가
79,청구,37.560245,127.013828,"['05호선', '06호선']",POINT (127.013828 37.560245),서울특별시,중구,신당동
80,성신여대입구,37.592624,127.016403,"['04호선', '우이신설경전철']",POINT (127.016403 37.592624),서울특별시,성북구,동소문동5가
81,보문,37.585286,127.019381,"['06호선', '우이신설경전철']",POINT (127.019381 37.585286),서울특별시,성북구,보문동2가
82,계양,37.571462,126.735637,"['공항철도', '인천선']",POINT (126.735637 37.571462),인천광역시,계양구,귤현동
83,기흥,37.275619,127.115936,"['수인분당선', '용인경전철']",POINT (127.115936 37.275619),경기도,용인시,기흥구
84,옥수,37.540685,127.017965,"['03호선', '경의선']",POINT (127.017965 37.540685),서울특별시,성동구,옥수동
85,도곡,37.490858,127.055381,"['03호선', '수인분당선']",POINT (127.055381 37.490858),서울특별시,강남구,도곡동
86,수서,37.487371,127.10188,"['03호선', 'GTX-A', '수인분당선']",POINT (127.10188 37.487371),서울특별시,강남구,수서동
87,용산,37.529849,126.964561,"['01호선', '경의선']",POINT (126.964561 37.529849),서울특별시,용산구,한강로3가
88,종각,37.570161,126.982923,['01호선'],POINT (126.982923 37.570161),서울특별시,종로구,종로1가
89,종로5가,37.570926,127.001849,['01호선'],POINT (127.001849 37.570926),서울특별시,종로구,종로5가
90,제기동,37.578103,127.034893,['01호선'],POINT (127.034893 37.578103),서울특별시,동대문구,용두동
91,을지로입구,37.566014,126.982618,['02호선'],POINT (126.982618 37.566014),서울특별시,중구,을지로1가
92,탑석,37.733579,127.088704,['의정부경전철'],POINT (127.088704 37.733579),경기도,의정부시,용현동
94,가오리,37.641701,127.016792,['우이신설경전철'],POINT (127.016792 37.641701),서울특별시,강북구,수유동
95,화계,37.634802,127.017519,['우이신설경전철'],POINT (127.017519 37.634802),서울특별시,강북구,수유동
96,한티,37.496237,127.052873,['수인분당선'],POINT (127.052873 37.496237),서울특별시,강남구,도곡동
97,구룡,37.486839,127.058856,['수인분당선'],POINT (127.058856 37.486839),서울특별시,강남구,개포동
98,홍제,37.589066,126.943736,['03호선'],POINT (126.943736 37.589066),서울특별시,서대문구,홍제동
99,김유정,37.818466,127.71434,['경춘선'],POINT (127.71434 37.818466),강원특별자치도,춘천시,신동면
100,남춘천,37.864007,127.723792,['경춘선'],POINT (127.723792 37.864007),강원특별자치도,춘천시,퇴계동
101,성균관대,37.300349,126.97075,['01호선'],POINT (126.97075 37.300349),경기도,수원시,장안구
102,경찰병원,37.495918,127.12454,['03호선'],POINT (127.12454 37.495918),서울특별시,송파구,가락동
103,구일,37.496756,126.870793,['01호선'],POINT (126.870793 37.496756),서울특별시,구로구,구로동
104,야탑,37.411185,127.128715,['수인분당선'],POINT (127.128715 37.411185),경기도,성남시,분당구
105,삼송,37.653083,126.895558,['03호선'],POINT (126.895558 37.653083),경기도,고양시,덕양구
106,화정,37.634592,126.83265,['03호선'],POINT (126.83265 37.634592),경기도,고양시,덕양구
107,영등포시장,37.522669,126.905139,['05호선'],POINT (126.905139 37.522669),서울특별시,영등포구,영등포동5가
108,상일동,37.556712,127.166417,['05호선'],POINT (127.166417 37.556712),서울특별시,강동구,상일동
109,공릉,37.625742,127.072896,['07호선'],POINT (127.072896 37.625742),서울특별시,노원구,공릉동
110,상도,37.502834,126.94791,['07호선'],POINT (126.94791 37.502834),서울특별시,동작구,상도1동
111,박촌,37.553703,126.745077,['인천선'],POINT (126.745077 37.553703),인천광역시,계양구,박촌동
112,구성,37.298969,127.105664,"['GTX-A', '수인분당선']",POINT (127.105664 37.298969),경기도,용인시,기흥구
113,인하대,37.448493,126.649619,['수인분당선'],POINT (126.649619 37.448493),인천광역시,미추홀구,용현동
114,숭의,37.460789,126.638297,['수인분당선'],POINT (126.638297 37.460789),인천광역시,미추홀구,용현동
115,센트럴파크,37.393054,126.634729,['인천선'],POINT (126.634729 37.393054),인천광역시,연수구,송도동
116,국제업무지구,37.399907,126.630347,['인천선'],POINT (126.630347 37.399907),인천광역시,연수구,송도동
117,강매,37.612314,126.843223,['경의선'],POINT (126.843223 37.612314),경기도,고양시,덕양구
118,달월,37.379681,126.745177,['수인분당선'],POINT (126.745177 37.379681),경기도,시흥시,월곶동
119,원흥,37.650658,126.872642,['03호선'],POINT (126.872642 37.650658),경기도,고양시,덕양구
120,완정,37.592928,126.673203,['인천2호선'],POINT (126.673203 37.592928),인천광역시,서구,당하동
121,지평,37.476444,127.629617,['경의선'],POINT (127.629617 37.476444),경기도,양평군,지평면
122,석바위시장,37.457611,126.692575,['인천2호선'],POINT (126.692575 37.457611),인천광역시,미추홀구,주안동
123,상왕십리,37.564354,127.029354,['02호선'],POINT (127.029354 37.564354),서울특별시,성동구,하왕십리동
124,한양대,37.555273,127.043655,['02호선'],POINT (127.043655 37.555273),서울특별시,성동구,행당동
125,뚝섬,37.547184,127.047367,['02호선'],POINT (127.047367 37.547184),서울특별시,성동구,성수동1가
126,성수,37.544581,127.055961,['02호선'],POINT (127.055961 37.544581),서울특별시,성동구,성수동2가
127,청계산입구,37.447211,127.055664,['신분당선'],POINT (127.055664 37.447211),서울특별시,서초구,신원동
128,북한산우이,37.663146,127.012789,['우이신설경전철'],POINT (127.012789 37.663146),서울특별시,강북구,우이동
129,구의,37.537077,127.085916,['02호선'],POINT (127.085916 37.537077),서울특별시,광진구,자양동
130,잠실나루,37.520733,127.10379,['02호선'],POINT (127.10379 37.520733),서울특별시,송파구,신천동
131,잠실새내,37.511687,127.086162,['02호선'],POINT (127.086162 37.511687),서울특별시,송파구,잠실동
132,삼성,37.508844,127.06316,['02호선'],POINT (127.06316 37.508844),서울특별시,강남구,대치동
133,역삼,37.500622,127.036456,['02호선'],POINT (127.036456 37.500622),서울특별시,강남구,역삼동
134,서초,37.491897,127.007917,['02호선'],POINT (127.007917 37.491897),서울특별시,서초구,서초동
135,방배,37.481426,126.997596,['02호선'],POINT (126.997596 37.481426),서울특별시,서초구,방배동
136,낙성대,37.47693,126.963693,['02호선'],POINT (126.963693 37.47693),서울특별시,관악구,봉천동
137,서울대입구,37.481247,126.952739,['02호선'],POINT (126.952739 37.481247),서울특별시,관악구,봉천동
138,봉천,37.482362,126.941892,['02호선'],POINT (126.941892 37.482362),서울특별시,관악구,봉천동
139,신림,37.484201,126.929715,"['02호선', '신림선']",POINT (126.929715 37.484201),서울특별시,관악구,신림동
140,신대방,37.487462,126.913149,['02호선'],POINT (126.913149 37.487462),서울특별시,관악구,신림동
141,구로디지털단지,37.485266,126.901401,['02호선'],POINT (126.901401 37.485266),서울특별시,구로구,구로동
142,문래,37.517933,126.89476,['02호선'],POINT (126.89476 37.517933),서울특별시,영등포구,문래동3가
143,신촌,37.555134,126.936893,"['02호선', '경의선']",POINT (126.936893 37.555134),서울특별시,서대문구,창천동
144,이대,37.556733,126.946013,['02호선'],POINT (126.946013 37.556733),서울특별시,마포구,대흥동
145,아현,37.557345,126.956141,['02호선'],POINT (126.956141 37.557345),서울특별시,마포구,아현동
146,용답,37.561904,127.050899,['02호선'],POINT (127.050899 37.561904),서울특별시,성동구,사근동
147,신답,37.57004,127.046481,['02호선'],POINT (127.046481 37.57004),서울특별시,성동구,용답동
148,도림천,37.514287,126.882768,['02호선'],POINT (126.882768 37.514287),서울특별시,구로구,신도림동
149,양천구청,37.512398,126.865819,['02호선'],POINT (126.865819 37.512398),서울특별시,양천구,신정동
150,신정네거리,37.520074,126.852912,['02호선'],POINT (126.852912 37.520074),서울특별시,양천구,신정동
151,용두,37.574028,127.038091,['02호선'],POINT (127.038091 37.574028),서울특별시,동대문구,용두동
152,지축,37.648048,126.913951,['03호선'],POINT (126.913951 37.648048),,,
153,구파발,37.636763,126.918821,['03호선'],POINT (126.918821 37.636763),서울특별시,은평구,진관동
154,녹번,37.600927,126.935756,['03호선'],POINT (126.935756 37.600927),서울특별시,은평구,녹번동
155,무악재,37.582299,126.950291,['03호선'],POINT (126.950291 37.582299),서울특별시,서대문구,홍제동
156,독립문,37.574571,126.957748,['03호선'],POINT (126.957748 37.574571),서울특별시,종로구,무악동
157,경복궁,37.575762,126.97353,['03호선'],POINT (126.97353 37.575762),서울특별시,종로구,적선동
158,안국,37.576477,126.985443,['03호선'],POINT (126.985443 37.576477),서울특별시,종로구,경운동
159,동대입구,37.559052,127.005602,['03호선'],POINT (127.005602 37.559052),서울특별시,중구,장충동2가
160,금호,37.548034,127.015872,['03호선'],POINT (127.015872 37.548034),서울특별시,성동구,금호동4가
161,압구정,37.527072,127.028461,['03호선'],POINT (127.028461 37.527072),서울특별시,강남구,신사동
162,신사,37.516334,127.020114,"['03호선', '신분당선']",POINT (127.020114 37.516334),서울특별시,강남구,논현동
163,잠원,37.512759,127.01122,['03호선'],POINT (127.01122 37.512759),서울특별시,서초구,잠원동
164,남부터미널,37.485013,127.016189,['03호선'],POINT (127.016189 37.485013),서울특별시,서초구,서초동
165,매봉,37.486947,127.046769,['03호선'],POINT (127.046769 37.486947),서울특별시,강남구,도곡동
166,대치,37.494612,127.063642,['03호선'],POINT (127.063642 37.494612),서울특별시,강남구,대치동
167,학여울,37.496663,127.070594,['03호선'],POINT (127.070594 37.496663),서울특별시,강남구,대치동
168,대청,37.493514,127.079532,['03호선'],POINT (127.079532 37.493514),서울특별시,강남구,일원동
169,일원,37.483681,127.08439,['03호선'],POINT (127.08439 37.483681),서울특별시,강남구,일원동
171,상계,37.660878,127.073572,['04호선'],POINT (127.073572 37.660878),서울특별시,노원구,상계동
172,쌍문,37.648627,127.034709,['04호선'],POINT (127.034709 37.648627),서울특별시,도봉구,창동
173,수유,37.638052,127.025732,['04호선'],POINT (127.025732 37.638052),서울특별시,강북구,번동
174,미아,37.62667,127.025983,['04호선'],POINT (127.025983 37.62667),서울특별시,강북구,미아동
175,미아사거리,37.613292,127.030053,['04호선'],POINT (127.030053 37.613292),서울특별시,강북구,미아동
176,길음,37.603407,127.025053,['04호선'],POINT (127.025053 37.603407),서울특별시,성북구,길음동
177,한성대입구,37.588458,127.006221,['04호선'],POINT (127.006221 37.588458),서울특별시,성북구,삼선동1가
178,혜화,37.582336,127.001844,['04호선'],POINT (127.001844 37.582336),서울특별시,종로구,동숭동
179,명동,37.560989,126.986325,['04호선'],POINT (126.986325 37.560989),서울특별시,중구,충무로2가
180,회현,37.558514,126.978246,['04호선'],POINT (126.978246 37.558514),서울특별시,중구,남창동
181,숙대입구,37.54456,126.972106,['04호선'],POINT (126.972106 37.54456),서울특별시,용산구,갈월동
182,신용산,37.52917,126.967894,['04호선'],POINT (126.967894 37.52917),서울특별시,용산구,한강로2가
183,남태령,37.463873,126.989134,['04호선'],POINT (126.989134 37.463873),서울특별시,서초구,방배동
184,남영,37.541021,126.9713,['01호선'],POINT (126.9713 37.541021),서울특별시,용산구,갈월동
