Unnamed: 0,역이름,y,x,호선,geometry,시도,구,동
388,광화문,37.571026,126.976669,['05호선'],POINT (126.976669 37.571026),서울특별시,종로구,세종로
389,신금호,37.554548,127.020331,['05호선'],POINT (127.020331 37.554548),서울특별시,성동구,금호동1가
390,행당,37.557322,127.029476,['05호선'],POINT (127.029476 37.557322),서울특별시,성동구,행당동
391,마장,37.5661,127.042973,['05호선'],POINT (127.042973 37.5661),서울특별시,성동구,마장동
392,답십리,37.566747,127.052704,['05호선'],POINT (127.052704 37.566747),서울특별시,성동구,용답동
393,장한평,37.56144,127.064623,['05호선'],POINT (127.064623 37.56144),서울특별시,성동구,용답동
394,아차산,37.551691,127.089761,['05호선'],POINT (127.089761 37.551691),서울특별시,광진구,구의동
395,광나루,37.545303,127.10357,['05호선'],POINT (127.10357 37.545303),서울특별시,광진구,광장동
396,강동,37.535804,127.132481,['05호선'],POINT (127.132481 37.535804),서울특별시,강동구,성내동
397,길동,37.537801,127.140004,['05호선'],POINT (127.140004 37.537801),서울특별시,강동구,길동
398,굽은다리,37.545477,127.142853,['05호선'],POINT (127.142853 37.545477),서울특별시,강동구,천호동
399,명일,37.55137,127.143999,['05호선'],POINT (127.143999 37.55137),서울특별시,강동구,명일동
400,고덕,37.555004,127.154151,['05호선'],POINT (127.154151 37.555004),서울특별시,강동구,명일동
401,둔촌동,37.527788,127.136248,['05호선'],POINT (127.136248 37.527788),서울특별시,강동구,성내동
402,올림픽공원,37.516078,127.130848,"['05호선', '09호선']",POINT (127.130848 37.516078),서울특별시,송파구,방이동
403,방이,37.508857,127.126133,['05호선'],POINT (127.126133 37.508857),서울특별시,송파구,방이동
404,개롱,37.498079,127.13482,['05호선'],POINT (127.13482 37.498079),서울특별시,송파구,가락동
405,거여,37.493105,127.14415,['05호선'],POINT (127.14415 37.493105),서울특별시,송파구,거여동
406,마천,37.49499,127.152781,['05호선'],POINT (127.152781 37.49499),서울특별시,송파구,마천동
407,응암,37.598605,126.915577,['06호선'],POINT (126.915577 37.598605),서울특별시,은평구,신사동
408,역촌,37.606021,126.922744,['06호선'],POINT (126.922744 37.606021),서울특별시,은평구,녹번동
409,독바위,37.618456,126.933031,['06호선'],POINT (126.933031 37.618456),서울특별시,은평구,불광동
410,구산,37.611377,126.91727,['06호선'],POINT (126.91727 37.611377),서울특별시,은평구,갈현동
411,새절,37.591148,126.913629,['06호선'],POINT (126.913629 37.591148),서울특별시,은평구,신사동
412,증산,37.583876,126.909645,['06호선'],POINT (126.909645 37.583876),서울특별시,은평구,증산동
413,월드컵경기장,37.569532,126.899298,['06호선'],POINT (126.899298 37.569532),서울특별시,마포구,성산동
414,마포구청,37.563515,126.903343,['06호선'],POINT (126.903343 37.563515),서울특별시,마포구,성산동
415,망원,37.556094,126.910052,['06호선'],POINT (126.910052 37.556094),서울특별시,마포구,서교동
416,상수,37.547716,126.922852,['06호선'],POINT (126.922852 37.547716),서울특별시,마포구,상수동
417,광흥창,37.547456,126.931993,['06호선'],POINT (126.931993 37.547456),서울특별시,마포구,창전동
418,대흥,37.547771,126.942069,['06호선'],POINT (126.942069 37.547771),서울특별시,마포구,대흥동
419,녹사평,37.534675,126.986695,['06호선'],POINT (126.986695 37.534675),서울특별시,용산구,용산동4가
420,이태원,37.534488,126.994302,['06호선'],POINT (126.994302 37.534488),서울특별시,용산구,이태원동
421,한강진,37.539631,127.001725,['06호선'],POINT (127.001725 37.539631),서울특별시,용산구,한남동
422,버티고개,37.548013,127.007055,['06호선'],POINT (127.007055 37.548013),서울특별시,중구,신당동
423,창신,37.579661,127.015241,['06호선'],POINT (127.015241 37.579661),서울특별시,종로구,창신동
424,안암,37.586272,127.029005,['06호선'],POINT (127.029005 37.586272),서울특별시,성북구,안암동5가
425,고려대,37.590508,127.036296,['06호선'],POINT (127.036296 37.590508),서울특별시,동대문구,제기동
426,월곡,37.601948,127.041518,['06호선'],POINT (127.041518 37.601948),서울특별시,성북구,하월곡동
427,상월곡,37.606377,127.048491,['06호선'],POINT (127.048491 37.606377),서울특별시,성북구,상월곡동
428,돌곶이,37.610537,127.056431,['06호선'],POINT (127.056431 37.610537),서울특별시,성북구,장위동
429,화랑대,37.620064,127.084689,['06호선'],POINT (127.084689 37.620064),서울특별시,노원구,공릉동
430,봉화산,37.617283,127.091401,['06호선'],POINT (127.091401 37.617283),서울특별시,중랑구,신내동
431,장암,37.700109,127.053196,['07호선'],POINT (127.053196 37.700109),경기도,의정부시,장암동
432,수락산,37.67785,127.055315,['07호선'],POINT (127.055315 37.67785),서울특별시,노원구,상계동
433,마들,37.66494,127.057675,['07호선'],POINT (127.057675 37.66494),서울특별시,노원구,상계동
434,중계,37.644583,127.064303,['07호선'],POINT (127.064303 37.644583),서울특별시,노원구,중계동
435,하계,37.636352,127.06799,['07호선'],POINT (127.06799 37.636352),서울특별시,노원구,하계동
436,먹골,37.610637,127.077725,['07호선'],POINT (127.077725 37.610637),서울특별시,중랑구,묵동
437,중화,37.602545,127.079264,['07호선'],POINT (127.079264 37.602545),서울특별시,중랑구,중화동
438,면목,37.588579,127.087503,['07호선'],POINT (127.087503 37.588579),서울특별시,중랑구,면목동
439,사가정,37.580894,127.088478,['07호선'],POINT (127.088478 37.580894),서울특별시,중랑구,면목동
440,용마산,37.573647,127.086727,['07호선'],POINT (127.086727 37.573647),서울특별시,중랑구,면목동
441,중곡,37.565923,127.08432,['07호선'],POINT (127.08432 37.565923),서울특별시,광진구,중곡동
442,어린이대공원,37.548014,127.074658,['07호선'],POINT (127.074658 37.548014),서울특별시,광진구,능동
444,청담,37.519365,127.05335,['07호선'],POINT (127.05335 37.519365),서울특별시,강남구,삼성동
445,학동,37.514229,127.031656,['07호선'],POINT (127.031656 37.514229),서울특별시,강남구,논현동
446,논현,37.511093,127.021415,"['07호선', '신분당선']",POINT (127.021415 37.511093),서울특별시,강남구,논현동
447,반포,37.508178,127.011727,['07호선'],POINT (127.011727 37.508178),서울특별시,서초구,반포동
448,내방,37.487618,126.993513,['07호선'],POINT (126.993513 37.487618),서울특별시,서초구,방배동
449,남성,37.484596,126.971251,['07호선'],POINT (126.971251 37.484596),서울특별시,동작구,사당동
450,숭실대입구,37.496029,126.953822,['07호선'],POINT (126.953822 37.496029),서울특별시,동작구,상도동
451,장승배기,37.504898,126.93915,['07호선'],POINT (126.93915 37.504898),서울특별시,동작구,상도동
452,신대방삼거리,37.499701,126.928276,['07호선'],POINT (126.928276 37.499701),서울특별시,동작구,대방동
453,보라매,37.499872,126.920428,"['07호선', '신림선']",POINT (126.920428 37.499872),서울특별시,동작구,대방동
454,신풍,37.50008,126.90993,['07호선'],POINT (126.90993 37.50008),서울특별시,영등포구,신길동
455,남구로,37.486056,126.887249,['07호선'],POINT (126.887249 37.486056),서울특별시,구로구,구로동
456,철산,37.47605,126.867911,['07호선'],POINT (126.867911 37.47605),경기도,광명시,철산동
457,광명사거리,37.479252,126.854876,['07호선'],POINT (126.854876 37.479252),경기도,광명시,광명동
458,천왕,37.486637,126.838713,['07호선'],POINT (126.838713 37.486637),서울특별시,구로구,천왕동
459,까치울,37.506207,126.810939,['07호선'],POINT (126.810939 37.506207),경기도,부천시,원미구
460,부천종합운동장,37.50538,126.797337,"['07호선', '서해선']",POINT (126.797337 37.50538),경기도,부천시,원미구
461,춘의,37.503663,126.787036,['07호선'],POINT (126.787036 37.503663),경기도,부천시,원미구
462,신중동,37.503048,126.77596,['07호선'],POINT (126.77596 37.503048),경기도,부천시,원미구
463,부천시청,37.504631,126.763538,['07호선'],POINT (126.763538 37.504631),경기도,부천시,원미구
464,상동,37.505781,126.753083,['07호선'],POINT (126.753083 37.505781),경기도,부천시,원미구
465,삼산체육관,37.506411,126.742153,['07호선'],POINT (126.742153 37.506411),인천광역시,부평구,부개동
466,굴포천,37.506997,126.73128,['07호선'],POINT (126.73128 37.506997),인천광역시,부평구,갈산동
467,암사,37.55021,127.127562,['08호선'],POINT (127.127562 37.55021),서울특별시,강동구,암사동
468,강동구청,37.530341,127.120508,['08호선'],POINT (127.120508 37.530341),서울특별시,강동구,성내동
469,몽촌토성,37.517409,127.112359,['08호선'],POINT (127.112359 37.517409),서울특별시,송파구,방이동
470,석촌,37.505431,127.106979,"['08호선', '09호선']",POINT (127.106979 37.505431),서울특별시,송파구,석촌동
471,송파,37.499703,127.112183,['08호선'],POINT (127.112183 37.499703),서울특별시,송파구,가락동
472,문정,37.485855,127.1225,['08호선'],POINT (127.1225 37.485855),서울특별시,송파구,문정동
473,장지,37.478703,127.126191,['08호선'],POINT (127.126191 37.478703),서울특별시,송파구,장지동
474,산성,37.457122,127.149908,['08호선'],POINT (127.149908 37.457122),경기도,성남시,수정구
475,남한산성입구,37.451535,127.159816,['08호선'],POINT (127.159816 37.451535),경기도,성남시,중원구
476,단대오거리,37.44521,127.156866,['08호선'],POINT (127.156866 37.44521),경기도,성남시,중원구
477,신흥,37.440918,127.147564,['08호선'],POINT (127.147564 37.440918),경기도,성남시,수정구
478,수진,37.437428,127.140722,['08호선'],POINT (127.140722 37.437428),경기도,성남시,중원구
479,귤현,37.566379,126.742654,['인천선'],POINT (126.742654 37.566379),인천광역시,계양구,귤현동
480,임학,37.545059,126.738665,['인천선'],POINT (126.738665 37.545059),인천광역시,계양구,임학동
481,계산,37.543238,126.728128,['인천선'],POINT (126.728128 37.543238),인천광역시,계양구,계산동
482,경인교대입구,37.538157,126.722597,['인천선'],POINT (126.722597 37.538157),인천광역시,계양구,계산동
483,작전,37.530415,126.722527,['인천선'],POINT (126.722527 37.530415),인천광역시,계양구,작전동
484,갈산,37.517268,126.721514,['인천선'],POINT (126.721514 37.517268),인천광역시,부평구,청천동
485,부평시장,37.498383,126.722244,['인천선'],POINT (126.722244 37.498383),인천광역시,부평구,부평동
486,동수,37.485312,126.718247,['인천선'],POINT (126.718247 37.485312),인천광역시,부평구,부평동
487,부평삼거리,37.477679,126.710208,['인천선'],POINT (126.710208 37.477679),인천광역시,부평구,십정동
488,간석오거리,37.467048,126.707938,['인천선'],POINT (126.707938 37.467048),인천광역시,남동구,간석동
489,예술회관,37.449396,126.701012,['인천선'],POINT (126.701012 37.449396),인천광역시,남동구,구월동
490,인천터미널,37.442383,126.699706,['인천선'],POINT (126.699706 37.442383),인천광역시,미추홀구,관교동
491,문학경기장,37.434935,126.698579,['인천선'],POINT (126.698579 37.434935),인천광역시,연수구,선학동
492,선학,37.426684,126.698863,['인천선'],POINT (126.698863 37.426684),인천광역시,연수구,선학동
493,신연수,37.41804,126.693863,['인천선'],POINT (126.693863 37.41804),인천광역시,연수구,연수동
494,동춘,37.404737,126.681015,['인천선'],POINT (126.681015 37.404737),인천광역시,연수구,동춘동
495,동막,37.397878,126.674005,['인천선'],POINT (126.674005 37.397878),인천광역시,남동구,고잔동
496,캠퍼스타운,37.387855,126.661673,['인천선'],POINT (126.661673 37.387855),인천광역시,연수구,송도동
497,테크노파크,37.382268,126.656365,['인천선'],POINT (126.656365 37.382268),인천광역시,연수구,송도동
498,지식정보단지,37.378384,126.645168,['인천선'],POINT (126.645168 37.378384),인천광역시,연수구,송도동
499,인천대입구,37.386007,126.639484,['인천선'],POINT (126.639484 37.386007),인천광역시,연수구,송도동
500,검단오류,37.594877,126.627178,['인천2호선'],POINT (126.627178 37.594877),인천광역시,서구,오류동
501,왕길,37.59518,126.642696,['인천2호선'],POINT (126.642696 37.59518),인천광역시,서구,왕길동
502,검단사거리,37.60185,126.657108,['인천2호선'],POINT (126.657108 37.60185),인천광역시,서구,왕길동
503,마전,37.597566,126.666998,['인천2호선'],POINT (126.666998 37.597566),인천광역시,서구,마전동
504,독정,37.585212,126.675844,['인천2호선'],POINT (126.675844 37.585212),인천광역시,서구,백석동
505,검바위,37.561405,126.677566,['인천2호선'],POINT (126.677566 37.561405),인천광역시,서구,검암동
506,아시아드경기장,37.5517,126.677122,['인천2호선'],POINT (126.677122 37.5517),인천광역시,서구,연희동
507,서구청,37.543742,126.676787,['인천2호선'],POINT (126.676787 37.543742),인천광역시,서구,심곡동
508,가정,37.524649,126.675539,['인천2호선'],POINT (126.675539 37.524649),인천광역시,서구,가정동
509,가정중앙시장,37.517054,126.676672,['인천2호선'],POINT (126.676672 37.517054),인천광역시,서구,가정동
510,석남,37.506193,126.676203,"['07호선', '인천2호선']",POINT (126.676203 37.506193),인천광역시,서구,석남동
511,서부여성회관,37.506193,126.676203,['인천2호선'],POINT (126.676203 37.506193),인천광역시,서구,석남동
512,인천가좌,37.4897,126.675208,['인천2호선'],POINT (126.675208 37.4897),인천광역시,서구,가좌동
513,가재울,37.484192,126.683673,['인천2호선'],POINT (126.683673 37.484192),인천광역시,서구,가좌동
514,주안국가산단,37.473703,126.68113,['인천2호선'],POINT (126.68113 37.473703),인천광역시,미추홀구,주안동
515,시민공원,37.458335,126.681192,['인천2호선'],POINT (126.681192 37.458335),인천광역시,미추홀구,주안동
516,석천사거리,37.456805,126.709986,['인천2호선'],POINT (126.709986 37.456805),인천광역시,남동구,구월동
517,모래내시장,37.45583,126.719298,['인천2호선'],POINT (126.719298 37.45583),인천광역시,남동구,구월동
518,만수,37.454911,126.732094,['인천2호선'],POINT (126.732094 37.454911),인천광역시,남동구,만수동
519,남동구청,37.448161,126.736939,['인천2호선'],POINT (126.736939 37.448161),인천광역시,남동구,만수동
520,인천대공원,37.448769,126.752618,['인천2호선'],POINT (126.752618 37.448769),인천광역시,남동구,장수동
521,운연,37.440127,126.75997,['인천2호선'],POINT (126.75997 37.440127),인천광역시,남동구,운연동
522,개화,37.578608,126.798153,['09호선'],POINT (126.798153 37.578608),서울특별시,강서구,개화동
523,공항시장,37.563726,126.810678,['09호선'],POINT (126.810678 37.563726),서울특별시,강서구,공항동
524,신방화,37.567532,126.816601,['09호선'],POINT (126.816601 37.567532),서울특별시,강서구,방화동
525,마곡나루,37.567336,126.829497,"['09호선', '공항철도']",POINT (126.829497 37.567336),서울특별시,강서구,마곡동
526,양천향교,37.568381,126.841333,['09호선'],POINT (126.841333 37.568381),서울특별시,강서구,가양동
527,가양,37.561391,126.854456,['09호선'],POINT (126.854456 37.561391),서울특별시,강서구,등촌동
528,증미,37.557402,126.861939,['09호선'],POINT (126.861939 37.557402),서울특별시,강서구,등촌동
529,등촌,37.550632,126.865689,['09호선'],POINT (126.865689 37.550632),서울특별시,양천구,목동
530,염창,37.546936,126.874916,['09호선'],POINT (126.874916 37.546936),서울특별시,양천구,목동
531,신목동,37.544277,126.88308,['09호선'],POINT (126.88308 37.544277),서울특별시,양천구,목동
532,선유도,37.53802,126.893525,['09호선'],POINT (126.893525 37.53802),서울특별시,영등포구,양평동5가
533,국회의사당,37.528105,126.917874,['09호선'],POINT (126.917874 37.528105),서울특별시,영등포구,여의도동
534,샛강,37.517274,126.928422,"['09호선', '신림선']",POINT (126.928422 37.517274),서울특별시,영등포구,여의도동
535,노들,37.512887,126.953222,['09호선'],POINT (126.953222 37.512887),서울특별시,동작구,본동
536,흑석,37.50877,126.963708,['09호선'],POINT (126.963708 37.50877),서울특별시,동작구,흑석동
537,구반포,37.501364,126.987332,['09호선'],POINT (126.987332 37.501364),서울특별시,서초구,반포동
538,신반포,37.503415,126.995925,['09호선'],POINT (126.995925 37.503415),서울특별시,서초구,반포동
539,사평,37.504206,127.015259,['09호선'],POINT (127.015259 37.504206),서울특별시,서초구,반포동
540,신논현,37.504598,127.02506,"['09호선', '신분당선']",POINT (127.02506 37.504598),서울특별시,강남구,역삼동
541,언주,37.507287,127.033868,['09호선'],POINT (127.033868 37.507287),서울특별시,강남구,역삼동
542,삼성중앙,37.513011,127.053282,['09호선'],POINT (127.053282 37.513011),서울특별시,강남구,삼성동
543,봉은사,37.514219,127.060245,['09호선'],POINT (127.060245 37.514219),서울특별시,강남구,삼성동
544,청라국제도시,37.555878,126.625327,['공항철도'],POINT (126.625327 37.555878),인천광역시,서구,청라동
545,운서,37.492904,126.49379,['공항철도'],POINT (126.49379 37.492904),인천광역시,중구,운서동
546,공항화물청사,37.458366,126.476241,['공항철도'],POINT (126.476241 37.458366),인천광역시,중구,운서동
548,영종,37.511466,126.5237,['공항철도'],POINT (126.5237 37.511466),인천광역시,중구,운북동
549,양재시민의숲,37.470023,127.03842,['신분당선'],POINT (127.03842 37.470023),서울특별시,서초구,양재동
550,김량장,37.237247,127.198781,['용인경전철'],POINT (127.198781 37.237247),경기도,용인시,처인구
552,고진,37.24484,127.214251,['용인경전철'],POINT (127.214251 37.24484),경기도,용인시,처인구
553,보평,37.258965,127.218457,['용인경전철'],POINT (127.218457 37.258965),경기도,용인시,처인구
554,둔전,37.267051,127.21364,['용인경전철'],POINT (127.21364 37.267051),경기도,용인시,처인구
556,발곡,37.727048,127.052803,['의정부경전철'],POINT (127.052803 37.727048),경기도,의정부시,신곡동
557,범골,37.728755,127.04353,['의정부경전철'],POINT (127.04353 37.728755),경기도,의정부시,호원동
558,경전철의정부,37.737202,127.043257,['의정부경전철'],POINT (127.043257 37.737202),경기도,의정부시,의정부동
559,의정부시청,37.739256,127.034781,['의정부경전철'],POINT (127.034781 37.739256),경기도,의정부시,의정부동
560,흥선,37.743302,127.037023,['의정부경전철'],POINT (127.037023 37.743302),경기도,의정부시,가능동
561,의정부중앙,37.743676,127.049565,['의정부경전철'],POINT (127.049565 37.743676),경기도,의정부시,의정부동
562,동오,37.745271,127.056947,['의정부경전철'],POINT (127.056947 37.745271),경기도,의정부시,신곡동
563,새말,37.748885,127.06362,['의정부경전철'],POINT (127.06362 37.748885),경기도,의정부시,신곡동
564,경기도청북부청사,37.75059,127.071495,['의정부경전철'],POINT (127.071495 37.75059),경기도,의정부시,신곡동
565,효자,37.754025,127.076902,['의정부경전철'],POINT (127.076902 37.754025),경기도,의정부시,신곡동
566,곤제,37.750471,127.083715,['의정부경전철'],POINT (127.083715 37.750471),경기도,의정부시,낙양동
567,어룡,37.742802,127.085035,['의정부경전철'],POINT (127.085035 37.742802),경기도,의정부시,용현동
568,송산,37.737279,127.087159,['의정부경전철'],POINT (127.087159 37.737279),경기도,의정부시,용현동
569,솔밭공원,37.656088,127.013252,['우이신설경전철'],POINT (127.013252 37.656088),서울특별시,강북구,우이동
570,삼양,37.627165,127.018152,['우이신설경전철'],POINT (127.018152 37.627165),서울특별시,강북구,미아동
571,삼양사거리,37.621512,127.02048,['우이신설경전철'],POINT (127.02048 37.621512),서울특별시,강북구,미아동
572,솔샘,37.62124,127.013528,['우이신설경전철'],POINT (127.013528 37.62124),서울특별시,강북구,미아동
573,북한산보국문,37.612343,127.008009,['우이신설경전철'],POINT (127.008009 37.612343),서울특별시,성북구,정릉동
574,정릉,37.602798,127.01349,['우이신설경전철'],POINT (127.01349 37.602798),서울특별시,성북구,정릉동
575,동천,37.337928,127.102976,['신분당선'],POINT (127.102976 37.337928),경기도,용인시,수지구
576,수지구청,37.322702,127.095026,['신분당선'],POINT (127.095026 37.322702),경기도,용인시,수지구
577,성복,37.313335,127.0801,['신분당선'],POINT (127.0801 37.313335),경기도,용인시,수지구
578,상현,37.297664,127.069342,['신분당선'],POINT (127.069342 37.297664),경기도,용인시,수지구
579,광교중앙,37.288617,127.051478,['신분당선'],POINT (127.051478 37.288617),경기도,수원시,영통구
580,광교,37.30211,127.044483,['신분당선'],POINT (127.044483 37.30211),경기도,수원시,영통구
581,강남대,37.270161,127.126033,['용인경전철'],POINT (127.126033 37.270161),경기도,용인시,기흥구
582,지석,37.269606,127.136515,['용인경전철'],POINT (127.136515 37.269606),경기도,용인시,기흥구
583,어정,37.274917,127.143714,['용인경전철'],POINT (127.143714 37.274917),경기도,용인시,기흥구
584,동백,37.269043,127.152716,['용인경전철'],POINT (127.152716 37.269043),경기도,용인시,기흥구
585,초당,37.260752,127.159443,['용인경전철'],POINT (127.159443 37.260752),경기도,용인시,기흥구
586,삼가,37.242115,127.168075,['용인경전철'],POINT (127.168075 37.242115),경기도,용인시,처인구
588,명지대,37.237964,127.190294,['용인경전철'],POINT (127.190294 37.237964),경기도,용인시,처인구
